M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,0.88,0.85,0.84,0.84
128,1.00,1.03,0.99,0.99,0.98
256,1.00,0.99,0.97,0.95,0.95
512,1.00,1.02,0.98,0.98,0.97
