M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.14,1.11,1.09,1.07
128,1.00,1.24,1.19,1.18,1.17
256,1.00,1.15,1.12,1.12,1.07
512,1.00,1.17,1.14,1.13,1.10
