M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,11133.085,12675.461,12338.543,12185.726,11941.958
128,17199.630,21270.435,20499.995,20353.358,20130.215
256,25925.645,29811.500,29099.782,29111.597,27855.534
512,30416.339,35703.207,34671.728,34404.557,33566.929
