M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.11,1.02,1.00,0.99
128,1.00,1.06,1.00,0.98,0.88
256,1.00,1.05,0.97,0.99,0.93
512,1.00,1.07,1.00,0.98,0.97
