"Elevation","TSeason","PSeason","swe","scd","awc","clay","sand","coarse","bulk_density","aspect","slope","tri","dist2fw","dist2cst","dr","As","Cd","Co","Cr","Hg","Mn","Ni","Pb","Sb","Zn","copper","erosion","pH_H2O","OC","CaCO3","P","N","K","parmado_bin"
NA,0.00691736464717811,0,1.36481334129304e-07,6.44859166368944e-30,0,9.43042685653799e-94,3.05843907277881e-44,0,1.44544330421506e-160,0.000274734004102301,0,0,1.10892563435259e-142,0,1.00532149406929e-62,0,0.027626985026155,0,3.25622545576467e-101,0.00924213727114722,0,2.0790519549055e-146,9.17561855338709e-68,0,8.92240618680798e-224,1.46786793147415e-122,2.43139451121136e-09,3.53413638187234e-66,0.0578978154786466,1.05354497599086e-176,0,0.560811988187769,1.05980169947798e-45,0
0.00691736464717823,NA,1.15110234906681e-208,0,0,1.88838704479914e-291,2.90832871745566e-214,1.08291969128892e-05,4.43902842157653e-84,3.0509546098688e-40,3.49321105712449e-07,1.84709632788852e-59,7.33249685815063e-115,0.00136822415173884,0,0,0,7.12256428193522e-222,2.59833721675138e-39,2.64384126914675e-78,2.8467128311031e-27,2.3731383658604e-214,4.81473187434009e-98,0,0,2.88831885209559e-280,3.37351021599466e-182,3.53951219213274e-07,1.81286751276181e-84,0.203485777829506,6.65670529258859e-44,5.49849338744179e-104,1.96362893865814e-80,2.30893988303594e-158,0
0,1.15110234906681e-208,NA,2.66030560092103e-28,3.19164955238368e-62,7.05256706854696e-37,7.15538944459516e-06,3.2832913170088e-47,1.03601451483458e-85,0.00386425469806024,0.200462915217468,6.67294194729594e-102,1.35665899312552e-146,3.97558002646885e-54,6.67265793927291e-21,2.67760847818695e-06,1.28577744838395e-26,1.46572938245429e-169,5.25739173344794e-09,4.02793900477239e-25,1.64815267805715e-133,0.00217638568333264,4.81046780367626e-16,8.12388230948853e-305,2.4873952993595e-19,3.31915417517122e-65,9.58034529980076e-21,1.03679180772106e-08,6.70618493096065e-54,9.76518186207366e-122,3.91105045525344e-67,0,3.52063079756928e-205,0.502357996765603,6.0216744397127e-102
1.36481334129304e-07,0,2.66030560092092e-28,NA,0,0,0,1.86240802413703e-26,2.24592165077541e-26,5.97647939791775e-17,1.59654525907518e-05,0.00013582450874347,3.35265457297415e-08,1.82240068927923e-19,6.81437212570409e-67,0,0,0.000128886418177363,0,0,1.36838259410861e-251,0,0,0,0,0,0,1.13617629872605e-35,0,0,0,1.36252495923641e-08,7.18814826141757e-136,0,0
6.44859166368997e-30,0,3.19164955238368e-62,0,NA,0,0,1.24333340385821e-36,5.09582642915084e-45,2.97807771606033e-07,1.31828399641869e-06,0.000449884270251959,0.0969805661999019,8.7054766292891e-13,9.9607608323886e-57,0,0,0.893784816796931,0,0,4.31705466265608e-170,0,0,0,0,0,0,1.1780233119195e-36,0,0,0,1.26715264952516e-07,1.25076605053697e-89,0,0
0,1.88838704479914e-291,7.05256706854696e-37,0,0,NA,0,0,0,0,0.0124651478644278,0,0,3.71401796292339e-104,8.31560722095714e-09,3.58921530367498e-259,0,4.19120392185205e-125,0,0,6.24893068444195e-109,0,0,0,0,0,0,1.5311415511547e-15,0,8.97563104983651e-35,0,1.4030621949281e-138,2.71749619022823e-250,0,0
9.43042685653799e-94,2.90832871745631e-214,7.15538944459516e-06,0,0,0,NA,0,1.75224146798428e-133,0,0.00236171232039815,2.66543325741517e-43,8.7896445707321e-43,2.8647298844711e-11,8.06258074352625e-15,2.8532292774948e-182,0,1.43356861363154e-22,0,0,2.80515808468811e-18,0,0,0,0,0,0,8.3732110153386e-28,0,6.92114011033749e-153,0,9.4734899417189e-87,0.892757340339304,0,0
3.05843907277881e-44,1.08291969128892e-05,3.2832913170088e-47,1.86240802413703e-26,1.24333340385821e-36,0,0,NA,6.59296771604914e-13,1.05181976901526e-199,0.0561946143685719,5.85044826197332e-17,1.75824493677808e-37,5.84461994348491e-11,5.03219705989082e-09,1.49132554787195e-68,0,1.14381749319299e-79,0,0,0,0,0,0,1.29932551834332e-301,0,0,0.000249164315518406,6.87209801053086e-210,2.57298929236715e-299,8.13274056410002e-281,0.000288214590415974,0,0,0
0,4.43902842157653e-84,1.03601451483458e-85,2.24592165077533e-26,5.09582642915084e-45,0,1.75224146798428e-133,6.5929677160491e-13,NA,2.46430022964874e-161,0.0832012579419474,0,0,7.89083862440275e-76,1.90577071820129e-07,5.95381959853814e-54,0,1.26757415182308e-06,0,3.81674559102203e-157,4.36939823015864e-09,1.8267427522772e-160,3.31446469533932e-160,7.42567690011982e-117,6.33671966883865e-284,1.55437000457277e-237,4.48385733673903e-233,0.0849662971379263,6.29131981858779e-27,1.68185537366212e-42,4.41296328644771e-117,2.07393744594041e-101,1.11916539106416e-45,1.79938573255143e-59,3.54101646328704e-259
1.44544330421492e-160,3.0509546098688e-40,0.00386425469806023,5.97647939791784e-17,2.97807771606033e-07,0,0,1.05181976901526e-199,2.46430022964874e-161,NA,0.0179639779862691,0,0,3.96109875507027e-134,7.58609776812436e-101,5.25657242858366e-09,2.02685591869115e-174,1.82433425033216e-98,0,0,8.63211627306714e-264,9.04640485985986e-207,2.34505688354408e-302,0,5.77035673997757e-287,0,0,0.0786811747291481,5.11636089180055e-22,0,9.42588895957428e-09,4.34054795410012e-92,0,1.48353539450845e-76,8.56015543840002e-174
