beta,mean obj,mean constr,obj_q10,obj_q25,obj_q50,obj_q75,obj_q90,constr_q10,constr_q25,constr_q50,constr_q75,constr_q90
0.1,0.6320379146919429,0.0,0.602654028436019,0.6170616113744076,0.6322274881516587,0.6483412322274882,0.6616113744075829,0.0,0.0,0.0,0.0,0.0
0.15,0.6320379146919429,0.0,0.602654028436019,0.6170616113744076,0.6322274881516587,0.6483412322274882,0.6616113744075829,0.0,0.0,0.0,0.0,0.0
0.2,0.6320379146919429,0.0,0.602654028436019,0.6170616113744076,0.6322274881516587,0.6483412322274882,0.6616113744075829,0.0,0.0,0.0,0.0,0.0
0.25,0.6320379146919429,0.0,0.602654028436019,0.6170616113744076,0.6322274881516587,0.6483412322274882,0.6616113744075829,0.0,0.0,0.0,0.0,0.0
0.3,0.6149004739336492,0.059092990225079,0.5527962085308057,0.5909952606635072,0.6265402843601896,0.6445497630331753,0.6616113744075829,0.0,0.0,0.0,0.0,0.2683669407832977
0.35,0.5395639810426541,0.23822078005087416,0.45270142180094786,0.5018957345971564,0.5374407582938389,0.5720379146919431,0.6371563981042655,0.0,0.23888367504915092,0.284202439258619,0.31741895230412426,0.346371810509154
0.4,0.42980094786729844,0.33883372046226107,0.36151658767772515,0.3862559241706161,0.4151658767772512,0.46255924170616114,0.5347867298578199,0.2846672591353442,0.3165711307972902,0.34358213308630714,0.3774473643383696,0.39253917254765247
0.45,0.3748056872037915,0.36989454102404645,0.34104265402843603,0.3582938388625592,0.37725118483412323,0.3924170616113744,0.40037914691943133,0.33757135747805905,0.3548140475485844,0.36757977262358127,0.3872037914691943,0.39829383886255926
0.5,0.37476777251184834,0.37041812279553304,0.34104265402843603,0.3582938388625592,0.37725118483412323,0.3924170616113744,0.40037914691943133,0.34086759158918933,0.3560648770957422,0.36872037914691946,0.3872037914691943,0.39829383886255926
