epoch,batch,loss,time
0,10,0.5357297658920288,1774137655.3381414
0,20,0.5336841851472854,1774137655.4468613
0,30,0.5331807235876719,1774137655.611183
0,40,0.5323302298784256,1774137655.7528682
0,50,0.5318860960006714,1774137655.8616793
0,60,0.5318285584449768,1774137655.9709766
0,70,0.5317697848592485,1774137656.074084
0,80,0.5308731533586979,1774137656.137736
0,90,0.5305133952034844,1774137656.2004247
0,100,0.52955471098423,1774137656.2542887
0,110,0.5290496197613803,1774137656.309342
0,120,0.5286032646894455,1774137656.3799906
0,130,0.5280319273471832,1774137656.4509175
0,140,0.5277479427201407,1774137656.5257847
0,150,0.5273661716779073,1774137656.5999079
0,160,0.5270541116595269,1774137656.7200487
1,10,0.520412927865982,1774137658.067492
1,20,0.5203262001276017,1774137658.2372494
1,30,0.5193888147672018,1774137658.4156523
1,40,0.5191587015986443,1774137658.4875934
1,50,0.5188985824584961,1774137658.5455077
1,60,0.5186165481805801,1774137658.5975595
1,70,0.5181602750505719,1774137658.648657
1,80,0.5177910529077053,1774137658.7043345
1,90,0.5178246974945069,1774137658.7655835
1,100,0.5176566231250763,1774137658.8244689
1,110,0.5172283156351609,1774137658.8848372
1,120,0.5170036708315213,1774137658.94537
1,130,0.5166105893942026,1774137659.0068684
1,140,0.5160666450858116,1774137659.1028993
1,150,0.5157065059741338,1774137659.2067158
1,160,0.5154035501182079,1774137659.3122332
2,10,0.5103997707366943,1774137660.3318033
2,20,0.5104084432125091,1774137660.4721787
2,30,0.508608928322792,1774137660.6639857
2,40,0.5080671794712543,1774137660.8076427
2,50,0.5062020319700241,1774137660.9614718
2,60,0.5052524685859681,1774137661.112114
2,70,0.5050422097955432,1774137661.2214007
2,80,0.5045820981264114,1774137661.3368797
2,90,0.50371559229162,1774137661.461421
2,100,0.5030810418725014,1774137661.648298
2,110,0.5022090202028101,1774137661.770261
2,120,0.5014783218502998,1774137661.8325799
2,130,0.5005906893656804,1774137661.8883739
2,140,0.4996595012290137,1774137661.9405673
2,150,0.49858803729216256,1774137661.9926133
2,160,0.4977702021598816,1774137662.055084
3,10,0.47958531975746155,1774137662.641422
3,20,0.479086235165596,1774137662.7696865
3,30,0.47775496939818063,1774137662.8592072
3,40,0.47601817920804024,1774137662.9096663
3,50,0.4743000417947769,1774137662.9599493
3,60,0.4722328732411067,1774137663.0187771
3,70,0.4708665145295007,1774137663.0700588
3,80,0.4691565215587616,1774137663.1218648
3,90,0.46734285520182717,1774137663.172882
3,100,0.4650148636102676,1774137663.228232
3,110,0.4628223971887068,1774137663.2888818
3,120,0.4603653517862161,1774137663.3831267
3,130,0.4580547582644683,1774137663.4636557
3,140,0.45555773569004876,1774137663.5557811
3,150,0.45314948936303456,1774137663.6511724
3,160,0.4507054932415485,1774137663.7678537
4,10,0.4044574677944183,1774137664.324805
4,20,0.40231205374002454,1774137664.4293272
4,30,0.3980218042929967,1774137664.5021546
4,40,0.3953235514461994,1774137664.5739167
4,50,0.39166351437568664,1774137664.6459548
4,60,0.38737794756889343,1774137664.698824
4,70,0.3839596697262355,1774137664.7491095
4,80,0.38093455620110034,1774137664.8000836
4,90,0.37853816482755875,1774137664.8516924
4,100,0.37637016594409944,1774137664.9029067
4,110,0.3738161011175676,1774137664.9643762
4,120,0.371610922118028,1774137665.0239482
4,130,0.3695880630841622,1774137665.108991
4,140,0.36808373566184727,1774137665.1787384
4,150,0.36645350376764935,1774137665.2312922
4,160,0.36508881151676176,1774137665.300197
5,10,0.3417589426040649,1774137665.8482
5,20,0.34054057747125627,1774137665.9664562
5,30,0.3395310560862223,1774137666.067309
5,40,0.33923514410853384,1774137666.2181284
5,50,0.33986732482910154,1774137666.270124
5,60,0.34023468842109045,1774137666.328924
5,70,0.33952275727476394,1774137666.3811176
5,80,0.3390485346317291,1774137666.4329011
5,90,0.3387945125500361,1774137666.4842112
5,100,0.3383254033327103,1774137666.535706
5,110,0.33779536323113873,1774137666.5936909
5,120,0.33678789287805555,1774137666.657589
5,130,0.336640189244197,1774137666.7209454
5,140,0.3360805245382445,1774137666.784284
5,150,0.33556471168994906,1774137666.861108
5,160,0.3356142181903124,1774137667.0167894
6,10,0.3294428318738937,1774137667.8431726
6,20,0.3313399747014046,1774137668.010836
6,30,0.33160121540228527,1774137668.1269841
6,40,0.3314769133925438,1774137668.250454
6,50,0.3302728122472763,1774137668.4088113
6,60,0.32798415422439575,1774137668.5617712
6,70,0.3281232510294233,1774137668.6705494
6,80,0.3286023620516062,1774137668.8274326
6,90,0.3279320196972953,1774137668.9423084
6,100,0.3276957380771637,1774137669.1173239
6,110,0.3270569378679449,1774137669.2480266
6,120,0.326608045399189,1774137669.413081
6,130,0.3266717974956219,1774137669.539498
6,140,0.32660818781171524,1774137669.6442947
6,150,0.32616521457831066,1774137669.7586284
6,160,0.32574493288993833,1774137669.906145
7,10,0.3194961428642273,1774137670.6148107
7,20,0.3228887006640434,1774137670.751278
7,30,0.32472416162490847,1774137670.912609
7,40,0.3241923309862614,1774137671.042442
7,50,0.3232494020462036,1774137671.2309077
7,60,0.32435875535011294,1774137671.4113626
7,70,0.3247823268175125,1774137671.5528467
7,80,0.32435495406389236,1774137671.7430842
7,90,0.3235043121708764,1774137671.864601
7,100,0.32275387823581697,1774137672.0146024
7,110,0.3232468615878712,1774137672.1434839
7,120,0.32307673717538515,1774137672.3115213
7,130,0.3225714057683945,1774137672.4319112
7,140,0.32229904958180017,1774137672.5489113
7,150,0.3222558814287186,1774137672.7144818
7,160,0.3224193571135402,1774137672.9083366
8,10,0.32554709613323213,1774137673.7610786
8,20,0.32525873333215716,1774137673.817665
8,30,0.32186207274595896,1774137673.877484
8,40,0.32127258405089376,1774137673.9574208
8,50,0.3215666687488556,1774137674.0749438
8,60,0.32142487118641533,1774137674.214417
8,70,0.3215059131383896,1774137674.3275416
8,80,0.3212379805743694,1774137674.4645658
8,90,0.32098437117205725,1774137674.6420264
8,100,0.32060050338506696,1774137674.7554564
8,110,0.32074599916284735,1774137674.9149616
8,120,0.3212959513068199,1774137675.0698256
8,130,0.3214622364594386,1774137675.2093055
8,140,0.3210991137794086,1774137675.346093
8,150,0.320778844555219,1774137675.4541452
8,160,0.3206221567466855,1774137675.6034205
9,10,0.3217309921979904,1774137676.0865057
9,20,0.32191923409700396,1774137676.1438327
9,30,0.32239797214667004,1774137676.1967676
9,40,0.3220533184707165,1774137676.2496436
9,50,0.3216570979356766,1774137676.3008544
9,60,0.3206631734967232,1774137676.3567257
9,70,0.3209796816110611,1774137676.4392748
9,80,0.32072618529200553,1774137676.5376453
9,90,0.31996410257286495,1774137676.6998374
9,100,0.31994623214006424,1774137676.8504715
9,110,0.32039676444097,1774137677.0133088
9,120,0.3199836554626624,1774137677.1234937
9,130,0.3191808253526688,1774137677.242309
9,140,0.31907232850790024,1774137677.3536482
9,150,0.31896737972895306,1774137677.5025375
9,160,0.3190541874617338,1774137677.6446037
10,10,0.3141795575618744,1774137678.3480515
10,20,0.3155184730887413,1774137678.4628313
10,30,0.31718756556510924,1774137678.538168
10,40,0.31699779331684114,1774137678.6075764
10,50,0.3169118422269821,1774137678.6693873
10,60,0.3181273768345515,1774137678.7367709
10,70,0.31744343255247387,1774137678.7952507
10,80,0.31754409670829775,1774137678.851383
10,90,0.3181474996937646,1774137678.9185278
10,100,0.31818045794963834,1774137679.0122166
10,110,0.31783861436627125,1774137679.1072457
10,120,0.3177577326695124,1774137679.2165394
10,130,0.3177809770290668,1774137679.3148634
10,140,0.31769878353391373,1774137679.4243531
10,150,0.31749887386957804,1774137679.544186
10,160,0.31745623592287303,1774137679.6724026
11,10,0.32017781734466555,1774137680.5372543
11,20,0.3164743572473526,1774137680.5905066
11,30,0.3160261601209641,1774137680.6430955
11,40,0.3151619389653206,1774137680.708392
11,50,0.3163000655174255,1774137680.8152082
11,60,0.316815056403478,1774137680.9319882
11,70,0.3170141339302063,1774137681.0535355
11,80,0.31696240827441213,1774137681.158508
11,90,0.3171537154250675,1774137681.3143792
11,100,0.31668642938137054,1774137681.4424539
11,110,0.3165354791012677,1774137681.9299874
11,120,0.31649805381894114,1774137682.038152
11,130,0.3162471828552393,1774137682.160217
11,140,0.3161148680107934,1774137682.3313773
11,150,0.3162294302384059,1774137682.5001562
11,160,0.3159416427835822,1774137682.5917246
12,10,0.31026256680488584,1774137683.0521286
12,20,0.31152458041906356,1774137683.1223683
12,30,0.3132068425416946,1774137683.180372
12,40,0.31422665640711783,1774137683.2737834
12,50,0.3150056833028793,1774137683.4112005
12,60,0.3150769139329592,1774137683.5269568
12,70,0.3147427282163075,1774137683.652309
12,80,0.31446380726993084,1774137683.8100138
12,90,0.3150267862611347,1774137683.9472163
12,100,0.3148790690302849,1774137684.1066668
12,110,0.31495274251157584,1774137684.253535
12,120,0.314718838284413,1774137684.36894
12,130,0.31465346744427314,1774137684.5021107
12,140,0.31451742819377354,1774137684.6166751
12,150,0.3146353022257487,1774137684.7331395
12,160,0.3146807773038745,1774137684.8711622
13,10,0.31307561695575714,1774137685.3602386
13,20,0.3126895770430565,1774137685.4129815
13,30,0.31288918455441794,1774137685.469184
13,40,0.3126248449087143,1774137685.5278363
13,50,0.31346024334430694,1774137685.6245782
13,60,0.31385593911012016,1774137685.727796
13,70,0.31297016271523065,1774137685.8273828
13,80,0.31304819844663145,1774137685.9613953
13,90,0.31294062601195444,1774137686.099894
13,100,0.3131099045276642,1774137686.223127
13,110,0.31334223340858114,1774137686.2785423
13,120,0.31387464627623557,1774137686.3342452
13,130,0.313786420913843,1774137686.3892
13,140,0.3135953060218266,1774137686.4465754
13,150,0.3137124925851822,1774137686.500994
13,160,0.31379977352917193,1774137686.5671394
14,10,0.3063497006893158,1774137687.1718962
14,20,0.30849908888339994,1774137687.3290195
14,30,0.31163050631682077,1774137687.440306
14,40,0.3126965194940567,1774137687.547997
14,50,0.31249875605106353,1774137687.7007332
14,60,0.31270812849203744,1774137687.7667394
14,70,0.31207141748496464,1774137687.8595889
14,80,0.3122589722275734,1774137687.9392629
14,90,0.31204922298590343,1774137688.005129
14,100,0.31196860641241075,1774137688.140338
14,110,0.31250307695432145,1774137688.2616467
14,120,0.31251924807826675,1774137688.416793
14,130,0.31300502373622013,1774137688.5094764
14,140,0.3133216251220022,1774137688.5670855
14,150,0.3131480191151301,1774137688.6246407
14,160,0.313195182569325,1774137688.6876283
15,10,0.31257767975330353,1774137689.3601038
15,20,0.30943478643894196,1774137689.417928
15,30,0.3100931316614151,1774137689.4714053
15,40,0.30924329459667205,1774137689.5279644
15,50,0.3095664131641388,1774137689.5807245
15,60,0.31012325584888456,1774137689.6349416
15,70,0.3112170683486121,1774137689.68864
15,80,0.31175477132201196,1774137689.749181
15,90,0.31234097315205467,1774137689.823682
15,100,0.3120125111937523,1774137689.8932374
15,110,0.31272681111639195,1774137690.0144224
15,120,0.31279040724039076,1774137690.0696893
15,130,0.3128333291182151,1774137690.126916
15,140,0.31312454747302193,1774137690.182391
15,150,0.3131157143910726,1774137690.3000684
15,160,0.3128067372366786,1774137690.4158201
16,10,0.3166916787624359,1774137691.361827
16,20,0.31695807427167894,1774137691.5082822
16,30,0.31400350530942284,1774137691.6530128
16,40,0.31431237086653707,1774137691.7544103
16,50,0.3132874494791031,1774137691.9648795
16,60,0.31325620859861375,1774137692.0269666
16,70,0.31348234244755335,1774137692.08445
16,80,0.31293294951319695,1774137692.141046
16,90,0.31309087872505187,1774137692.1950915
16,100,0.31292473047971725,1774137692.2460718
16,110,0.31288019689646634,1774137692.2965603
16,120,0.3128758172194163,1774137692.3467064
16,130,0.3129441465322788,1774137692.3980935
16,140,0.31292515737669807,1774137692.4483926
16,150,0.31265902558962505,1774137692.5019572
16,160,0.3125352570787072,1774137692.6298048
17,10,0.31143724024295805,1774137693.5732331
17,20,0.3097687095403671,1774137693.6244414
17,30,0.31148250301678976,1774137693.6750307
17,40,0.31194834411144257,1774137693.7258651
17,50,0.31212395131587983,1774137693.7754078
17,60,0.3124465897679329,1774137693.8247507
17,70,0.3121654931988035,1774137693.8739693
17,80,0.31237635426223276,1774137693.9233027
17,90,0.31256643467479284,1774137693.9766564
17,100,0.3124954640865326,1774137694.0261238
17,110,0.3124890387058258,1774137694.0763373
17,120,0.312495698283116,1774137694.1253557
17,130,0.31261879732975595,1774137694.174575
17,140,0.3123964433159147,1774137694.2237914
17,150,0.3123395323753357,1774137694.2731488
17,160,0.3123740393668413,1774137694.3299127
18,10,0.3095997393131256,1774137695.436145
18,20,0.3102140948176384,1774137695.488083
18,30,0.30895860890547433,1774137695.5395904
18,40,0.30972063839435576,1774137695.596005
18,50,0.31084915101528166,1774137695.6487856
18,60,0.3107651044925054,1774137695.7004254
18,70,0.3114896122898374,1774137695.7514548
18,80,0.3114161856472492,1774137695.8017278
18,90,0.31148791710535684,1774137695.8516839
18,100,0.3120288011431694,1774137695.9016056
18,110,0.31197348751805043,1774137695.9516819
18,120,0.31174032340447105,1774137696.0037055
18,130,0.31218756162203276,1774137696.0537775
18,140,0.31212792886154994,1774137696.1033103
18,150,0.3121546685695648,1774137696.1568737
18,160,0.31218945160508155,1774137696.2122757
19,10,0.3139583349227905,1774137696.7064786
19,20,0.31132423132658005,1774137696.7600648
19,30,0.3112905959288279,1774137696.8114896
19,40,0.31014047265052797,1774137696.8617516
19,50,0.31036490201950073,1774137696.911861
19,60,0.3101317912340164,1774137696.9614456
19,70,0.3105088698012488,1774137697.0125713
19,80,0.310367401689291,1774137697.064045
19,90,0.3102854503525628,1774137697.1147144
19,100,0.31107518196105954,1774137697.1670597
19,110,0.3117119239135222,1774137697.2170525
19,120,0.3117053190867106,1774137697.2691958
19,130,0.31161821576265186,1774137697.3193944
19,140,0.31151598372629713,1774137697.379689
19,150,0.3118037740389506,1774137697.4327292
19,160,0.31207810770720246,1774137697.4927793
20,10,0.3146929442882538,1774137698.0165238
20,20,0.3122204527258873,1774137698.067421
20,30,0.3127565016349157,1774137698.1257236
20,40,0.31261529847979547,1774137698.1830003
20,50,0.31225437998771666,1774137698.2340243
20,60,0.3124432360132535,1774137698.2842085
20,70,0.3113723065171923,1774137698.334135
20,80,0.3116133626550436,1774137698.3840702
20,90,0.311936605307791,1774137698.43407
20,100,0.31195681750774384,1774137698.4839475
20,110,0.3118653587319634,1774137698.5344982
20,120,0.311922753850619,1774137698.5971549
20,130,0.3120537581352087,1774137698.6584835
20,140,0.3119513232793127,1774137698.7204337
20,150,0.31175240139166516,1774137698.7849216
20,160,0.3119417937472463,1774137698.8480952
21,10,0.31133984327316283,1774137699.4561312
21,20,0.31231930255889895,1774137699.5108511
21,30,0.31124576131502785,1774137699.565397
21,40,0.3104178451001644,1774137699.6196496
21,50,0.3113217061758041,1774137699.6799197
21,60,0.31159407943487166,1774137699.7363045
21,70,0.312200831089701,1774137699.7864757
21,80,0.31234445683658124,1774137699.8360262
21,90,0.31308452486991883,1774137699.8870606
21,100,0.31263341069221495,1774137699.9380536
21,110,0.3127959134903821,1774137699.9879403
21,120,0.312437262882789,1774137700.0386405
21,130,0.3120373661701496,1774137700.0898561
21,140,0.31214585921594074,1774137700.140739
21,150,0.3117610142628352,1774137700.1915052
21,160,0.31182799972593783,1774137700.2502635
22,10,0.31412714123725893,1774137700.6259348
22,20,0.3124497979879379,1774137700.680912
22,30,0.31455035706361134,1774137700.735066
22,40,0.3137258730828762,1774137700.7898738
22,50,0.3142305016517639,1774137700.8484359
22,60,0.3132983475923538,1774137700.89922
22,70,0.31397673104490553,1774137700.9505782
22,80,0.31292709708213806,1774137701.0054169
22,90,0.31267027689350974,1774137701.0562692
22,100,0.3120287290215492,1774137701.1093106
22,110,0.31193121590397577,1774137701.1612504
22,120,0.3116895998517672,1774137701.2146313
22,130,0.3118894432599728,1774137701.267143
22,140,0.3120293889726911,1774137701.3177412
22,150,0.3118545087178548,1774137701.3683262
22,160,0.3117168044671416,1774137701.4420826
23,10,0.30954162776470184,1774137702.0717075
23,20,0.31122400909662246,1774137702.1235554
23,30,0.31235259771347046,1774137702.1741445
23,40,0.31083703339099883,1774137702.2324378
23,50,0.31186483025550843,1774137702.2822049
23,60,0.31151385257641473,1774137702.331949
23,70,0.3123333432844707,1774137702.382097
23,80,0.3132302716374397,1774137702.432593
23,90,0.31327317853768666,1774137702.4827693
23,100,0.3131460928916931,1774137702.5402052
23,110,0.3128372709859501,1774137702.5907016
23,120,0.31264308566848437,1774137702.6417308
23,130,0.3122832020887962,1774137702.6921537
23,140,0.31183175104004995,1774137702.742985
23,150,0.31197719315687816,1774137702.7945788
23,160,0.3116990990936756,1774137702.858574
24,10,0.3122276902198792,1774137703.4373698
24,20,0.3111645385622978,1774137703.4935832
24,30,0.3108273555835088,1774137703.5437808
24,40,0.3109452873468399,1774137703.5930657
24,50,0.31127568483352663,1774137703.6423101
24,60,0.3114679406086604,1774137703.6918676
24,70,0.3115968976702009,1774137703.7416766
24,80,0.31139593459665776,1774137703.791112
24,90,0.31165277229415045,1774137703.8490489
24,100,0.3114440190792084,1774137703.9193826
24,110,0.3112391035665165,1774137704.0313253
24,120,0.31117352470755577,1774137704.1270003
24,130,0.31157487768393294,1774137704.2253277
24,140,0.3119924675141062,1774137704.2771146
24,150,0.31205776274204255,1774137704.3279653
24,160,0.31164570320397617,1774137704.390638
25,10,0.3110509395599365,1774137704.946776
25,20,0.3103234425187111,1774137705.0500348
25,30,0.31199029088020325,1774137705.2425046
25,40,0.3136583387851715,1774137705.371777
25,50,0.31263226628303525,1774137705.4454136
25,60,0.3126840492089589,1774137705.5116878
