M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.05,0.86,0.87,0.86
128,1.00,1.00,0.96,0.97,0.96
256,1.00,1.13,1.01,1.06,1.03
512,1.00,1.04,0.99,0.98,0.97
