M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,6988.605,7312.044,6868.261,6714.665,6628.372
128,10550.845,12323.716,11111.042,11597.713,11268.609
256,14648.671,17405.073,16537.743,16607.399,15485.803
512,13214.118,17708.088,16620.067,16800.017,15572.011
