M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,9365.677,10813.087,9881.279,9060.258,8836.318
128,13999.595,14361.295,14075.056,14045.917,13412.061
256,20173.241,21779.648,19521.403,20780.572,20364.479
512,20065.853,21575.265,20919.474,20467.250,20130.315
