M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.84,1.08,0.58,
128,1.00,1.88,1.11,0.77,0.39
256,1.00,1.69,1.11,0.56,
512,1.00,2.83,1.17,,
