algorithm,n_runs,median_post_mean,median_post_median,median_post_cvar20
BERW-HeteroRobust,50,5896.256218991134,4357.6801881774445,11187.295625872106
CMA-ES-Resample(k=10),50,9224.964257017831,6653.506786613416,18596.109695075196
CMA-ES-Resample(k=5),50,7649.305839710439,5479.3247323446885,14873.312331356594
CMA-ES-sep,50,6471.484388272849,4587.365393403081,11711.210069429959
