L (Trees),k (Lines),Mean Distance,Std Dev,Mean Time (s),Bias,Rel Bias (%),CV (σ/μ)
10,5,0.6328428089618683,0.06039244696958824,0.0008720636367797851,0.04129490256309509,6.980821352997478,0.09543040722649211
10,10,0.47626579999923707,0.051100260752231806,0.0008764266967773438,0.004247826337814342,0.8999289380580446,0.10729357588202568
10,50,0.2342066302895546,0.012172460131933183,0.0008574724197387695,0.015276716649532313,6.123341231774571,0.051973166245909065
10,100,0.18051108717918396,0.013542303735186188,0.0009195804595947266,0.004072308540344238,2.2062160707738045,0.07502200527850929
50,5,0.6113465189933777,0.028890253361591893,0.0008431911468505859,0.01979861259460447,3.3469161804890004,0.047256756134248706
50,10,0.4663460999727249,0.02663396322347041,0.0008488655090332031,0.005671873688697815,1.201622396855217,0.05711201021093163
50,50,0.24524953961372375,0.004214113615259275,0.0009326696395874024,0.004233807325363159,1.6970300331896992,0.01718296238964055
50,100,0.18907426297664642,0.015574566995699533,0.0008850574493408203,0.004490867257118225,2.4329746668774224,0.0823727500004759
100,5,0.6021017730236053,0.02459604287694169,0.0008419275283813477,0.010553866624832153,1.7841102150258648,0.04085030800262634
100,10,0.4780266523361206,0.026113829864141763,0.0008469820022583008,0.006008678674697898,1.272976668258804,0.05462839725886253
100,50,0.24612577110528946,0.008144836552012143,0.0009323596954345703,0.0033575758337974493,1.3458116042579886,0.03309217281650643
100,100,0.18600315749645233,0.007560892886095494,0.0012218236923217773,0.0014197617769241277,0.7691709058605875,0.04064927169980813
500,5,0.5980145752429962,0.007193489586625409,0.000846695899963379,0.006466668844222978,1.0931775388388711,0.012028953614888767
500,10,0.47101539373397827,0.008147794591964727,0.0008978843688964844,0.001002579927444458,0.2124029133186369,0.017298361582989932
500,50,0.25230530798435213,0.004348737114975531,0.0022939205169677734,0.00282196104526522,1.1311220086983285,0.017236011202924187
500,100,0.1844384789466858,0.0024326691022038306,0.0041228532791137695,0.00014491677284239612,0.07851018900020404,0.013189596423135887
1000,5,0.5946860373020172,0.005234639558736772,0.0009044647216796875,0.0031381309032439964,0.530494803429923,0.00880235827039993
1000,10,0.471524515748024,0.005512798580513902,0.0012378692626953125,0.0004934579133987205,0.1045421871482963,0.011691435750203628
1000,50,0.2487138330936432,0.0020688263516049094,0.004169654846191406,0.0007695138454437145,0.3084429701961617,0.008318099262399997
1000,100,0.1838435098528862,0.0007732314295565251,0.008296751976013183,0.0007398858666420038,0.40084096608898107,0.00420592182000482
5000,5,0.5987506747245789,0.001904432391418359,0.0023595094680786133,0.007202768325805686,1.2176136958466672,0.003180676818935335
5000,10,0.47337268888950346,0.0024283990146547994,0.004207825660705567,0.0013547152280807273,0.2870050090618924,0.005129993917375419
5000,50,0.250411668419838,0.0008654838833975436,0.02121877670288086,0.0009283214807510598,0.3720975737020699,0.0034562442271918454
5000,100,0.18466136008501052,0.0007173775378792841,0.04039742946624756,7.796436548232477e-05,0.04223801668530928,0.0038848275435046774
10000,5,0.5982622027397155,0.0010724142126616503,0.00453956127166748,0.006714296340942338,1.1350384758890701,0.001792548831850945
10000,10,0.47161599695682527,0.0013376165507135904,0.0088334321975708,0.00040197670459746204,0.08516131313376615,0.0028362408386160922
10000,50,0.25034099370241164,0.0008668305560982591,0.0419001579284668,0.0008576467633247264,0.3437691428494932,0.0034625993261362875
10000,100,0.18480776399374008,0.0005059257064288791,0.08133702278137207,0.000224368274211878,0.12155387722566462,0.0027375782028617375
20000,5,0.5985056817531585,0.0014020642012452953,0.009055566787719727,0.006957775354385354,1.1761981200716127,0.0023426080052211568
20000,10,0.473272442817688,0.00121626196160887,0.01704239845275879,0.0012544691562652588,0.2657672432544033,0.002569898121191462
20000,50,0.2503582417964935,0.000543068674100551,0.08275353908538818,0.0008748948574066051,0.35068266805808757,0.0021691663521985847
20000,100,0.1850165918469429,0.0005362560352915747,0.16452720165252685,0.00043319612741471447,0.23468856758543424,0.0028984213250193183
