Seed,alpha,BH_FDR,BH_Power,BH_Boundary_Error,DominoP_FDR,DominoP_Power,DominoP_Boundary_Error,Dual_FDR,Dual_Power,Dual_Boundary_Error,SL_FDR,SL_Power,SL_Boundary_Error,DominoE_FDR,DominoE_Power,DominoE_Boundary_Error,Domino2_FDR,Domino2_Power,Domino2_Boundary_Error,Domino3_FDR,Domino3_Power,Domino3_Boundary_Error,Domino4_FDR,Domino4_Power,Domino4_Boundary_Error,Domino5_FDR,Domino5_Power,Domino5_Boundary_Error,Domino2E_FDR,Domino2E_Power,Domino2E_Boundary_Error,Domino3E_FDR,Domino3E_Power,Domino3E_Boundary_Error,Domino4E_FDR,Domino4E_Power,Domino4E_Boundary_Error,Domino5E_FDR,Domino5E_Power,Domino5E_Boundary_Error,Simes_FDR,Simes_Power,Simes_Boundary_Error,Cauchy_FDR,Cauchy_Power,Cauchy_Boundary_Error,AverageP_FDR,AverageP_Power,AverageP_Boundary_Error
1,0.05,0.9518348623853211,0.9540229885057471,1,0.9946091644204852,0.8482758620689655,0,0.9946091644204852,0.8482758620689655,0,0.989821882951654,0.8942528735632184,0,0.9972375690607734,0.8298850574712644,0,0.989821882951654,0.8942528735632184,0,0.989821882951654,0.8942528735632184,0,0.9848101265822785,0.8942528735632184,0,0.9849246231155779,0.9011494252873563,0,0.9945652173913043,0.8413793103448276,0,0.9945945945945946,0.8459770114942529,0,0.9946236559139785,0.8505747126436781,0,0.9946524064171123,0.8551724137931035,0,0.9922680412371134,0.8850574712643678,1,0.9922680412371134,0.8850574712643678,1,1.0,0.0,0
2,0.05,0.9604651162790697,0.9494252873563218,1,0.9972972972972973,0.8482758620689655,0,0.9972972972972973,0.8482758620689655,0,0.9974619289340102,0.903448275862069,0,0.9972375690607734,0.8298850574712644,0,0.9974358974358974,0.8942528735632184,0,0.9974489795918368,0.8988505747126436,0,0.9974619289340102,0.903448275862069,0,0.9974619289340102,0.903448275862069,0,0.9972677595628415,0.8390804597701149,0,0.997289972899729,0.8459770114942529,0,0.9973045822102425,0.8505747126436781,0,0.9973118279569892,0.8528735632183908,0,0.9974093264248705,0.8850574712643678,0,0.9974093264248705,0.8850574712643678,0,1.0,0.0,0
3,0.05,0.9466357308584686,0.9379310344827586,1,0.9946380697050938,0.8528735632183908,0,0.9946380697050938,0.8528735632183908,0,0.9897172236503856,0.8850574712643678,0,0.997229916897507,0.8275862068965517,0,0.9897172236503856,0.8850574712643678,0,0.9871794871794872,0.8850574712643678,0,0.9846938775510204,0.8873563218390804,0,0.9846938775510204,0.8873563218390804,0,0.994535519125683,0.8367816091954023,0,0.9945652173913043,0.8413793103448276,0,0.994579945799458,0.8436781609195402,0,0.9946091644204852,0.8482758620689655,0,0.9921875,0.8758620689655172,1,0.9921875,0.8758620689655172,1,1.0,0.0,0
4,0.05,0.9495412844036697,0.9517241379310345,1,0.9973544973544973,0.8666666666666667,0,0.9973544973544973,0.8666666666666667,0,0.9897959183673469,0.8919540229885058,0,0.9972826086956522,0.8436781609195402,0,0.9897959183673469,0.8919540229885058,0,0.9897959183673469,0.8919540229885058,0,0.9872773536895675,0.8919540229885058,0,0.9873417721518988,0.896551724137931,0,0.9972972972972973,0.8482758620689655,0,0.9973190348525469,0.8551724137931035,0,0.9973333333333333,0.8597701149425288,0,0.9973614775725593,0.8689655172413793,0,0.9922680412371134,0.8850574712643678,1,0.9922680412371134,0.8850574712643678,1,1.0,0.0,0
5,0.05,0.9716312056737588,0.9448275862068966,0,0.9972527472527473,0.8344827586206897,0,0.9972527472527473,0.8344827586206897,0,0.989769820971867,0.8896551724137931,0,0.9971910112359551,0.8160919540229885,0,0.9948186528497409,0.8827586206896552,0,0.9922680412371134,0.8850574712643678,0,0.9897435897435898,0.8873563218390804,0,0.989769820971867,0.8896551724137931,0,0.9972222222222222,0.825287356321839,0,0.9972527472527473,0.8344827586206897,0,0.994535519125683,0.8367816091954023,0,0.9945652173913043,0.8413793103448276,0,0.9947643979057592,0.8735632183908046,0,0.9947643979057592,0.8735632183908046,0,1.0,0.0,0
6,0.05,0.9287305122494433,0.9586206896551724,1,0.9948453608247423,0.8873563218390804,0,0.9948453608247423,0.8873563218390804,0,0.9782608695652174,0.9310344827586207,0,0.9947643979057592,0.8735632183908046,0,0.9802955665024631,0.9149425287356322,0,0.980440097799511,0.9218390804597701,0,0.9781021897810219,0.9241379310344827,0,0.9782608695652174,0.9310344827586207,0,0.9947916666666666,0.8781609195402299,0,0.9948186528497409,0.8827586206896552,0,0.9948453608247423,0.8873563218390804,0,0.9948717948717949,0.8919540229885058,0,0.9826302729528535,0.9103448275862069,1,0.9826302729528535,0.9103448275862069,1,1.0,0.0,0
7,0.05,0.9235955056179775,0.9448275862068966,1,0.9947643979057592,0.8735632183908046,0,0.9947643979057592,0.8735632183908046,0,0.9778869778869779,0.9149425287356322,0,0.9946666666666667,0.8574712643678161,0,0.9799498746867168,0.8988505747126436,0,0.9800995024875622,0.9057471264367816,0,0.9778869778869779,0.9149425287356322,0,0.9778869778869779,0.9149425287356322,0,0.9947089947089947,0.864367816091954,0,0.9947368421052631,0.8689655172413793,0,0.9947643979057592,0.8735632183908046,0,0.9947780678851175,0.8758620689655172,0,0.9822784810126582,0.8919540229885058,1,0.9822784810126582,0.8919540229885058,1,1.0,0.0,0
8,0.05,0.9452054794520548,0.9517241379310345,1,0.9973333333333333,0.8597701149425288,0,0.9973333333333333,0.8597701149425288,0,0.9923857868020305,0.8988505747126436,0,0.997289972899729,0.8459770114942529,0,0.9923857868020305,0.8988505747126436,0,0.9923857868020305,0.8988505747126436,0,0.9873737373737373,0.8988505747126436,0,0.987468671679198,0.9057471264367816,0,0.9973190348525469,0.8551724137931035,0,0.9973262032085561,0.8574712643678161,0,0.9973404255319149,0.8620689655172413,0,0.9973474801061007,0.864367816091954,0,0.9974293059125964,0.8919540229885058,0,0.9974293059125964,0.8919540229885058,0,1.0,0.0,0
9,0.05,0.9626168224299065,0.9471264367816092,1,0.9973262032085561,0.8574712643678161,0,0.9973262032085561,0.8574712643678161,0,0.9949622166246851,0.9080459770114943,0,0.9972826086956522,0.8436781609195402,0,0.9949109414758269,0.8988505747126436,0,0.9949367088607595,0.903448275862069,0,0.9949622166246851,0.9080459770114943,0,0.9949622166246851,0.9080459770114943,0,0.9972972972972973,0.8482758620689655,0,0.9973262032085561,0.8574712643678161,0,0.9973333333333333,0.8597701149425288,0,0.9973474801061007,0.864367816091954,0,0.9974160206718347,0.8873563218390804,0,0.9974160206718347,0.8873563218390804,0,1.0,0.0,0
10,0.05,0.9605568445475638,0.9517241379310345,1,0.9973045822102425,0.8505747126436781,0,0.9973045822102425,0.8505747126436781,0,0.9923857868020305,0.8988505747126436,0,0.9972602739726028,0.8367816091954023,0,0.9923857868020305,0.8988505747126436,0,0.9923857868020305,0.8988505747126436,0,0.9923857868020305,0.8988505747126436,0,0.9898734177215189,0.8988505747126436,0,0.997289972899729,0.8459770114942529,0,0.9973045822102425,0.8505747126436781,0,0.9973118279569892,0.8528735632183908,0,0.9973262032085561,0.8574712643678161,0,0.9974358974358974,0.8942528735632184,0,0.9974358974358974,0.8942528735632184,0,1.0,0.0,0
