alpha,BH_FDR,BH_Power,BH_Boundary_Error,DominoP_FDR,DominoP_Power,DominoP_Boundary_Error,Dual_FDR,Dual_Power,Dual_Boundary_Error,SL_FDR,SL_Power,SL_Boundary_Error,DominoE_FDR,DominoE_Power,DominoE_Boundary_Error,Domino2_FDR,Domino2_Power,Domino2_Boundary_Error,Domino3_FDR,Domino3_Power,Domino3_Boundary_Error,Domino4_FDR,Domino4_Power,Domino4_Boundary_Error,Domino5_FDR,Domino5_Power,Domino5_Boundary_Error,Domino2E_FDR,Domino2E_Power,Domino2E_Boundary_Error,Domino3E_FDR,Domino3E_Power,Domino3E_Boundary_Error,Domino4E_FDR,Domino4E_Power,Domino4E_Boundary_Error,Domino5E_FDR,Domino5E_Power,Domino5E_Boundary_Error,Simes_FDR,Simes_Power,Simes_Boundary_Error,Cauchy_FDR,Cauchy_Power,Cauchy_Boundary_Error,AverageP_FDR,AverageP_Power,AverageP_Boundary_Error
0.05,0.9589573828160458,0.9454712643678161,0.66,0.9969020760551373,0.8471034482758621,0.0,0.9969020760551373,0.8471034482758621,0.0,0.9910751862683286,0.8980919540229886,0.1,0.9976540703389903,0.8268735632183908,0.03,0.9929746531692787,0.8905057471264368,0.07,0.9917335168787755,0.8938850574712643,0.0,0.9906346969328221,0.8968735632183907,0.0,0.9899259456069254,0.898712643678161,0.0,0.9972449868696759,0.8371954022988506,0.0,0.9969944380046815,0.8433563218390805,0.0,0.996849428792023,0.848551724137931,0.0,0.9967572311850605,0.8526436781609195,0.0,0.9946254661700172,0.8831724137931034,0.26,0.9946019888935637,0.8835402298850574,0.25,1.0,0.0,0.0
0.1,0.9322105686020997,0.9560459770114943,0.71,0.9966936155259875,0.8564367816091953,0.0,0.9966936155259875,0.8564367816091953,0.0,0.9883614962830336,0.9061609195402299,0.1,0.9972689056620885,0.8360689655172413,0.0,0.9906089240820102,0.8968735632183907,0.09,0.9890593805900846,0.900183908045977,0.0,0.9879787293536646,0.9032413793103449,0.0,0.9873476860783157,0.9057931034482759,0.0,0.9968953515743004,0.846183908045977,0.0,0.9967033587627566,0.8527816091954022,0.0,0.9966685008413125,0.8578390804597702,0.0,0.9965533869984557,0.8622758620689654,0.0,0.9929243474799822,0.8906436781609196,0.24,0.9931483240698133,0.890367816091954,0.22,1.0,0.0,0.0
0.2,0.8961891249636045,0.9692183908045977,0.81,0.9963394720053114,0.8665517241379309,0.03,0.9963394720053114,0.8665517241379309,0.03,0.9851028066593425,0.9159310344827586,0.04,0.9968908903506525,0.8450574712643679,0.01,0.9879812426515967,0.9034482758620689,0.07,0.9867900677729904,0.9080229885057471,0.0,0.985700609496662,0.911471264367816,0.0,0.9846491793131669,0.9144597701149425,0.0,0.9966592365263864,0.8553563218390805,0.0,0.9965531950520288,0.8629655172413793,0.0,0.9963926805411734,0.8678620689655172,0.0,0.9962308633283276,0.8720229885057471,0.0,0.9906102804462461,0.8969885057471264,0.24,0.9912368328423756,0.8951034482758621,0.34,1.0,0.0,0.0
0.3,0.8582160876768102,0.9760459770114943,0.83,0.9960560792862699,0.8718390804597701,0.07,0.9960560792862699,0.8718390804597701,0.07,0.9825661767839554,0.921632183908046,0.19,0.9967776878546603,0.8506896551724138,0.01,0.9867900677729904,0.9080229885057471,0.02,0.9853602439278881,0.9131954022988507,0.0,0.984225271868423,0.916551724137931,0.0,0.9832376771656075,0.919287356321839,0.0,0.9965742431884407,0.8617931034482759,0.0,0.9963683093735815,0.868183908045977,0.0,0.9960807792257989,0.872919540229885,0.0,0.995893250803282,0.8768275862068965,0.0,0.989010507550376,0.9002988505747126,0.3,0.9902513472924866,0.8976781609195402,0.26,1.0,0.0,0.0
