lam,threshold,tp,fp,tn,fn,tpr,fpr,accuracy
4,0.0,236,214,0,0,1.0,1.0,0.5244444444444445
4,0.005,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.01,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.015,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.02,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.025,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.03,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.035,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.04,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.045,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.05,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.055,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.06,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.065,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.07,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.075,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.08,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.085,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.09,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.095,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.1,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.105,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.11,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.115,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.12,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.125,189,78,136,47,0.8008474576271186,0.3644859813084112,0.7222222222222222
4,0.13,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.135,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.14,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.145,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.15,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.155,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.16,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.165,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.17,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.17500000000000002,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.18,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.185,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.19,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.195,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.2,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.20500000000000002,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.21,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.215,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.22,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.225,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.23,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.23500000000000001,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.24,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
4,0.245,153,62,152,83,0.6483050847457628,0.2897196261682243,0.6777777777777778
