M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,0.88,0.89,0.84,0.88
1024,1.00,0.85,0.71,0.84,0.84
2048,1.00,0.86,0.81,0.85,0.88
4096,1.00,0.88,0.83,0.88,0.87
8192,1.00,1.37,1.21,1.23,1.11
16384,1.00,1.48,1.28,1.24,1.12
32768,1.00,1.50,1.29,1.24,1.12
65536,1.00,1.50,1.29,1.25,1.12
