M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.02,1.05,1.08,1.09
1024,1.00,1.03,1.06,1.13,1.11
2048,1.00,1.03,1.08,1.09,1.09
4096,1.00,1.48,1.26,1.26,1.21
8192,1.00,1.52,1.26,1.26,1.21
16384,1.00,1.53,1.26,1.26,1.21
32768,1.00,1.54,1.27,1.26,1.21
65536,,,,,
