M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.05,1.10,1.12,1.09
1024,1.00,1.24,1.25,1.18,1.14
2048,1.00,1.63,1.34,1.26,1.20
4096,1.00,1.69,1.37,1.30,1.24
8192,1.00,1.72,1.40,1.32,1.26
16384,1.00,1.75,1.41,1.34,1.27
32768,1.00,1.75,1.41,1.34,1.26
65536,,,,,
