M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,9239.130,9428.830,9746.998,9970.168,10074.682
1024,18325.342,18888.141,19487.903,20683.974,20367.821
2048,37260.341,38336.796,40377.637,40450.712,40587.916
4096,50882.742,75178.749,64160.473,64203.597,61801.426
8192,53294.684,81082.712,67194.701,67048.778,64460.383
16384,54294.722,83330.115,68604.000,68402.884,65681.271
32768,54567.942,84272.999,69172.748,68855.748,66162.147
65536,,,,,
