class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,955,0.955,0.1402326038479805
1,automobile,2913,1000,978,0.978,0.06592716750502586
2,bird,1886,1000,884,0.884,0.4587170305252075
3,cat,1221,1000,807,0.807,0.7833107042312623
4,deer,790,1000,855,0.855,0.7046687502861023
5,dog,511,1000,674,0.674,1.42797220993042
6,frog,331,1000,789,0.789,0.9760560359954834
7,horse,214,1000,692,0.692,1.3847427062988282
8,ship,138,1000,699,0.699,1.2598180923461915
9,truck,90,1000,621,0.621,1.8147444076538086
