M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.16,1.11,1.10,1.07
128,1.00,1.14,1.07,1.05,1.03
256,1.00,1.14,1.06,1.05,1.03
512,1.00,1.17,1.09,1.08,1.07
