M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,11223.982,12323.330,11168.281,10250.189,10821.741
128,15803.538,16665.180,15414.549,15889.959,15278.453
256,22983.920,24489.443,23650.746,23216.298,22681.414
512,22879.741,24971.943,24172.580,24182.890,23415.486
