M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,3084.393,3948.647,3528.381,3404.445,3323.102
128,4844.759,6016.549,5429.070,5279.401,5060.098
256,5767.247,7790.632,6852.696,6519.776,6347.186
512,5394.887,7546.020,6649.307,6292.464,6165.250
