function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
101,1,20,1,1.421085472e-14,1.551967443e-10,cma,0.041666666666666664,0.0039662181407969215,cma,cma
101,1,20,2,5.684341886e-14,5.437641448e-10,cma,0.013888888888888888,0.0026239937506799343,cma,cma
101,1,20,3,0.0,7.337916941e-10,cma,0.0,0.01341997007643124,cma,cma
101,1,20,4,2.842170943e-14,5.687184057e-11,cma,0.013888888888888888,0.03246508521810797,cma,cma
101,1,20,5,4.618527782e-14,2.187086068e-10,cma,0.0,0.02102894596220666,cma,cma
101,1,20,6,2.842170943e-14,7.108269529e-11,cma,0.0,0.006572299565839865,cma,cma
101,1,20,7,1.136868377e-13,2.180513548e-10,cma,0.027777777777777776,0.0008378400179297892,cma,cma
101,1,20,8,7.105427358e-15,2.132139798e-09,cma,0.013888888888888888,0.0075235076743524415,cma,cma
101,1,20,9,1.421085472e-14,1.68043357e-10,cma,0.0,0.12719754963190705,cma,berw
101,1,20,10,3.552713679e-15,2.260946985e-11,cma,0.0,0.013052054242817293,cma,cma
101,1,20,11,2.842170943e-14,1.0857093e-10,cma,0.013888888888888888,0.002256474598381137,cma,cma
101,1,20,12,5.684341886e-14,4.554863153e-10,cma,0.0,0.0013175902187404977,cma,cma
101,1,20,13,2.842170943e-14,3.900311185e-10,cma,0.027777777777777776,0.10364596313162124,cma,berw
101,1,20,14,7.105427358e-15,2.112805149e-06,cma,0.013888888888888888,0.019957799423846935,cma,cma
101,1,20,15,0.0,3.066702448e-11,cma,0.027777777777777776,0.004045780806839037,cma,cma
102,2,20,1,1.421085472e-14,1.216170901e-06,cma,0.027777777777777776,0.011514056831079686,cma,cma
102,2,20,2,5.684341886e-14,4.281476436e-07,cma,0.08333333333333333,0.006870782990994985,cma,cma
102,2,20,3,2.842170943e-14,6.855039487e-07,cma,0.027777777777777776,0.03250991516032227,cma,cma
102,2,20,4,5.684341886e-14,1.314679423e-07,cma,0.013888888888888888,0.0837287506583014,cma,berw
102,2,20,5,1.421085472e-14,1.024909508e-07,cma,0.027777777777777776,0.03995267989896445,cma,cma
102,2,20,6,2.842170943e-14,2.673195354e-08,cma,0.027777777777777776,0.024717363120090374,cma,cma
102,2,20,7,0.0,5.772378131e-06,cma,0.041666666666666664,0.002182000486498478,cma,cma
102,2,20,8,2.131628207e-14,4.347438782e-06,cma,0.05555555555555555,0.04453877235793435,cma,cma
102,2,20,9,1.421085472e-14,1.036496201e-06,cma,0.0,0.2581538185755649,cma,berw
102,2,20,10,2.353672812e-14,4.69907357e-07,cma,0.027777777777777776,0.02263214898528113,cma,cma
102,2,20,11,2.842170943e-14,7.307451426e-07,cma,0.06944444444444445,0.008991946643444127,cma,cma
102,2,20,12,0.0,6.799421612e-07,cma,0.05555555555555555,0.005247304970559206,cma,cma
102,2,20,13,1.421085472e-14,1.047022536e-06,cma,0.0,0.5230871754502922,cma,berw
102,2,20,14,7.105427358e-15,4.489156005e-06,cma,0.027777777777777776,0.03704464469936683,cma,cma
102,2,20,15,2.842170943e-14,1.729417636e-05,cma,0.027777777777777776,0.008457167172393844,cma,cma
103,3,20,1,1.54642521e-10,3.304343636e-05,cma,0.0,0.0002994084153844501,cma,cma
103,3,20,2,4.00746103e-11,3.415293008e-07,cma,0.0,0.0,cma,cma
103,3,20,3,9.066525308e-12,2.666307921e-07,cma,0.0,1.2471897525631767e-16,cma,cma
103,3,20,4,4.746425475e-12,2.0124168e-05,cma,0.0,0.0,cma,cma
103,3,20,5,3.044320351e-11,2.37997914e-06,cma,0.0,7.14162266548369e-05,cma,cma
103,3,20,6,1.193711796e-11,5.696108474e-09,cma,0.0,0.00035259880150461585,cma,cma
103,3,20,7,2.273736754e-12,1.404595196e-07,cma,0.0,0.0,cma,cma
103,3,20,8,6.158273891e-11,5.964153431e-06,cma,0.0,0.00010905814218164649,cma,cma
103,3,20,9,1.790567694e-12,1.888630123e-07,cma,0.0,1.8290043030096446e-16,cma,cma
103,3,20,10,9.008394031e-11,5.993624415e-07,cma,0.0,9.324845283573282e-05,cma,cma
103,3,20,11,3.834088602e-11,2.143570299e-06,cma,0.0,6.23830736547348e-06,cma,cma
103,3,20,12,7.673861546e-12,1.295620376e-05,cma,0.0,5.5067582327357155e-06,cma,cma
103,3,20,13,1.686828455e-11,1.45705755e-07,cma,0.0,0.0,cma,cma
103,3,20,14,2.870592652e-12,8.047374419e-05,cma,0.0,0.0,cma,cma
103,3,20,15,1.961097951e-12,1.961268481e-09,cma,0.0,0.0,cma,cma
104,4,20,1,108.7725835,16.88257282,berw,0.013888888888888888,0.012452984338611129,cma,cma
104,4,20,2,17.78565334,18.90260063,cma,0.027777777777777776,0.012910436272017493,cma,cma
104,4,20,3,19.32502926,18.36544235,berw,0.013888888888888888,0.011214443791787035,cma,cma
104,4,20,4,18.67676968,19.03446368,cma,0.013888888888888888,0.012292366241571819,cma,cma
104,4,20,5,17.89036006,18.76828537,cma,0.0,0.01171849736905602,cma,cma
104,4,20,6,19.27473763,18.34486083,berw,0.0,0.004446181058159247,cma,cma
104,4,20,7,18.0411627,18.21128254,cma,0.0,0.014428123258214309,cma,cma
104,4,20,8,17.92951532,17.3601392,berw,0.0,0.008609610601627746,cma,cma
104,4,20,9,18.27050773,18.47236468,cma,0.013888888888888888,0.009509558103994674,cma,cma
104,4,20,10,71.42218884,15.5553582,berw,0.013888888888888888,0.00790522960115046,cma,cma
104,4,20,11,17.81975905,19.46055505,cma,0.0,0.010042587258085819,cma,cma
104,4,20,12,17.99858474,18.31734137,cma,0.0,0.012912969140252393,cma,cma
104,4,20,13,15.41658181,17.159376,cma,0.0,0.01081736680539262,cma,cma
104,4,20,14,18.80901832,83.43921433,cma,0.013888888888888888,0.006966583888085652,cma,cma
104,4,20,15,18.85064308,17.40842611,berw,0.0,0.008314611652868118,cma,cma
105,5,20,1,91.90575352,19.19704087,berw,0.0,0.018533299517884964,cma,cma
105,5,20,2,17.94147092,18.81760422,cma,0.0,0.016954674169555362,cma,cma
105,5,20,3,18.3966288,18.81935103,cma,0.0,0.01817973668473776,cma,cma
105,5,20,4,18.4232866,18.53701188,cma,0.0,0.01894149310764919,cma,cma
105,5,20,5,19.45843018,18.06948302,berw,0.027777777777777776,0.01754151331949772,cma,cma
105,5,20,6,76.49487708,19.68113503,berw,0.013888888888888888,0.01771415379775248,cma,cma
105,5,20,7,17.51237494,19.69963706,cma,0.013888888888888888,0.01778703265772955,cma,cma
105,5,20,8,18.3024257,18.94037366,cma,0.013888888888888888,0.012408578359848998,cma,cma
105,5,20,9,101.4712516,93.79293135,berw,0.013888888888888888,0.0227834032361758,cma,cma
