probe_value_key,threshold,n_non_ties,accuracy,correct,pred_berw_count,pred_berw_rate,pred_cma_label_cma,pred_cma_label_berw,pred_berw_label_cma,pred_berw_label_berw
misranking_rd,0.0,450,0.3688888888888889,166,450,1.0,0,0,284,166
misranking_rd,0.005,450,0.5155555555555555,232,334,0.7422222222222222,91,25,193,141
misranking_rd,0.01,450,0.5155555555555555,232,334,0.7422222222222222,91,25,193,141
misranking_rd,0.015,450,0.5577777777777778,251,301,0.6688888888888889,117,32,167,134
misranking_rd,0.02,450,0.5577777777777778,251,301,0.6688888888888889,117,32,167,134
misranking_rd,0.025,450,0.5577777777777778,251,301,0.6688888888888889,117,32,167,134
misranking_rd,0.03,450,0.58,261,285,0.6333333333333333,130,35,154,131
misranking_rd,0.035,450,0.58,261,285,0.6333333333333333,130,35,154,131
misranking_rd,0.04,450,0.58,261,285,0.6333333333333333,130,35,154,131
misranking_rd,0.045,450,0.58,261,277,0.6155555555555555,134,39,150,127
misranking_rd,0.05,450,0.58,261,277,0.6155555555555555,134,39,150,127
misranking_rd,0.055,450,0.58,261,277,0.6155555555555555,134,39,150,127
misranking_rd,0.06,450,0.5888888888888889,265,271,0.6022222222222222,139,40,145,126
misranking_rd,0.065,450,0.5888888888888889,265,271,0.6022222222222222,139,40,145,126
misranking_rd,0.07,450,0.5866666666666667,264,268,0.5955555555555555,140,42,144,124
misranking_rd,0.075,450,0.5866666666666667,264,268,0.5955555555555555,140,42,144,124
misranking_rd,0.08,450,0.5866666666666667,264,268,0.5955555555555555,140,42,144,124
misranking_rd,0.085,450,0.5777777777777777,260,262,0.5822222222222222,141,47,143,119
misranking_rd,0.09,450,0.5777777777777777,260,262,0.5822222222222222,141,47,143,119
misranking_rd,0.095,450,0.5777777777777777,260,262,0.5822222222222222,141,47,143,119
misranking_rd,0.1,450,0.58,261,259,0.5755555555555556,143,48,141,118
misranking_rd,0.105,450,0.58,261,259,0.5755555555555556,143,48,141,118
misranking_rd,0.11,450,0.58,261,259,0.5755555555555556,143,48,141,118
misranking_rd,0.115,450,0.5888888888888889,265,255,0.5666666666666667,147,48,137,118
misranking_rd,0.12,450,0.5888888888888889,265,255,0.5666666666666667,147,48,137,118
misranking_rd,0.125,450,0.5888888888888889,265,255,0.5666666666666667,147,48,137,118
misranking_rd,0.13,450,0.5955555555555555,268,248,0.5511111111111111,152,50,132,116
misranking_rd,0.135,450,0.5955555555555555,268,248,0.5511111111111111,152,50,132,116
misranking_rd,0.14,450,0.6,270,244,0.5422222222222223,155,51,129,115
misranking_rd,0.145,450,0.6,270,244,0.5422222222222223,155,51,129,115
misranking_rd,0.15,450,0.6,270,244,0.5422222222222223,155,51,129,115
misranking_rd,0.155,450,0.5955555555555555,268,242,0.5377777777777778,155,53,129,113
misranking_rd,0.16,450,0.5955555555555555,268,242,0.5377777777777778,155,53,129,113
misranking_rd,0.165,450,0.5955555555555555,268,242,0.5377777777777778,155,53,129,113
misranking_rd,0.17,450,0.5955555555555555,268,236,0.5244444444444445,158,56,126,110
misranking_rd,0.17500000000000002,450,0.5955555555555555,268,236,0.5244444444444445,158,56,126,110
misranking_rd,0.18,450,0.5955555555555555,268,236,0.5244444444444445,158,56,126,110
misranking_rd,0.185,450,0.5955555555555555,268,234,0.52,159,57,125,109
misranking_rd,0.19,450,0.5955555555555555,268,234,0.52,159,57,125,109
misranking_rd,0.195,450,0.5977777777777777,269,231,0.5133333333333333,161,58,123,108
misranking_rd,0.2,450,0.5977777777777777,269,231,0.5133333333333333,161,58,123,108
misranking_rd,0.20500000000000002,450,0.5977777777777777,269,231,0.5133333333333333,161,58,123,108
misranking_rd,0.21,450,0.5977777777777777,269,223,0.4955555555555556,165,62,119,104
misranking_rd,0.215,450,0.5977777777777777,269,223,0.4955555555555556,165,62,119,104
misranking_rd,0.22,450,0.5977777777777777,269,223,0.4955555555555556,165,62,119,104
misranking_rd,0.225,450,0.5933333333333334,267,215,0.4777777777777778,168,67,116,99
misranking_rd,0.23,450,0.5933333333333334,267,215,0.4777777777777778,168,67,116,99
misranking_rd,0.23500000000000001,450,0.5933333333333334,267,215,0.4777777777777778,168,67,116,99
misranking_rd,0.24,450,0.5911111111111111,266,210,0.4666666666666667,170,70,114,96
misranking_rd,0.245,450,0.5911111111111111,266,210,0.4666666666666667,170,70,114,96
misranking_rd,0.25,450,0.5911111111111111,266,210,0.4666666666666667,170,70,114,96
misranking_rd,0.255,450,0.5866666666666667,264,192,0.4266666666666667,178,80,106,86
misranking_rd,0.26,450,0.5866666666666667,264,192,0.4266666666666667,178,80,106,86
misranking_rd,0.265,450,0.5911111111111111,266,178,0.39555555555555555,186,86,98,80
misranking_rd,0.27,450,0.5911111111111111,266,178,0.39555555555555555,186,86,98,80
misranking_rd,0.275,450,0.5911111111111111,266,178,0.39555555555555555,186,86,98,80
misranking_rd,0.28,450,0.5933333333333334,267,165,0.36666666666666664,193,92,91,74
misranking_rd,0.28500000000000003,450,0.5933333333333334,267,165,0.36666666666666664,193,92,91,74
misranking_rd,0.29,450,0.5933333333333334,267,165,0.36666666666666664,193,92,91,74
misranking_rd,0.295,450,0.5888888888888889,265,145,0.32222222222222224,202,103,82,63
misranking_rd,0.3,450,0.5888888888888889,265,145,0.32222222222222224,202,103,82,63
variance_rel_sd,0.0,450,0.3688888888888889,166,450,1.0,0,0,284,166
variance_rel_sd,0.005,450,0.5044444444444445,227,283,0.6288888888888889,114,53,170,113
variance_rel_sd,0.01,450,0.52,234,270,0.6,124,56,160,110
variance_rel_sd,0.015,450,0.54,243,257,0.5711111111111111,135,58,149,108
variance_rel_sd,0.02,450,0.5488888888888889,247,243,0.54,144,63,140,103
variance_rel_sd,0.025,450,0.5555555555555556,250,236,0.5244444444444445,149,65,135,101
variance_rel_sd,0.03,450,0.5577777777777778,251,235,0.5222222222222223,150,65,134,101
variance_rel_sd,0.035,450,0.5622222222222222,253,233,0.5177777777777778,152,65,132,101
variance_rel_sd,0.04,450,0.5666666666666667,255,231,0.5133333333333333,154,65,130,101
variance_rel_sd,0.045,450,0.5688888888888889,256,230,0.5111111111111111,155,65,129,101
variance_rel_sd,0.05,450,0.5688888888888889,256,230,0.5111111111111111,155,65,129,101
variance_rel_sd,0.055,450,0.5688888888888889,256,230,0.5111111111111111,155,65,129,101
variance_rel_sd,0.06,450,0.5688888888888889,256,230,0.5111111111111111,155,65,129,101
variance_rel_sd,0.065,450,0.5711111111111111,257,229,0.5088888888888888,156,65,128,101
variance_rel_sd,0.07,450,0.5733333333333334,258,228,0.5066666666666667,157,65,127,101
variance_rel_sd,0.075,450,0.5733333333333334,258,228,0.5066666666666667,157,65,127,101
variance_rel_sd,0.08,450,0.5755555555555556,259,227,0.5044444444444445,158,65,126,101
