alpha,n_samples,gamma,delta,base_gamma
0.05,50.0,0.9462668142137298,9.830725909368594,0.9486668142137298
0.05,50.0,0.9462668142137298,8.830725909368594,0.9486668142137298
0.05,50.0,0.9462668142137298,7.830725909368594,0.9486668142137298
0.05,50.0,0.9462668142137298,6.830725909368594,0.9486668142137298
0.05,50.0,0.9462668142137298,5.830725909368594,0.9486668142137298
0.05,50.0,0.8462668142137298,9.830725909368594,0.9486668142137298
0.05,50.0,0.7462668142137299,9.830725909368594,0.9486668142137298
