init_top20,ori_top20
-12.600000381469728,-13.3
-12.199999809265137,-13.0
-12.100000381469728,-12.9
-11.699999809265137,-11.9
-11.600000381469728,-11.9
-11.600000381469728,-11.3
-11.399999618530272,-11.3
-11.399999618530272,-11.1
-11.199999809265137,-10.8
-11.199999809265137,-10.5
-11.199999809265137,-10.4
-11.100000381469728,-10.4
-11.100000381469728,-10.4
-11.100000381469728,-10.4
-11.0,-10.3
-10.800000190734863,-10.2
-10.800000190734863,-10.2
-10.699999809265137,-10.1
-10.5,-10.1
-10.399999618530272,-9.9
