vtrace1;I f(x+y);I f(x-y);I f(x);I f(y)
vtrace1;0.14287689036591414;0.0013643823325863629;0.014866846086354977;0.9169831096457315
vtrace1;0.0004795343906430442;0.7843301777245419;0.04009560637641641;0.011355323047555219
vtrace1;0.7939117548570435;0.0005290389105521374;0.04320529608324895;0.9884138793392813
vtrace1;0.9998561064431839;0.7217060330943151;0.9926056434159617;0.9810473405436398
vtrace1;0.983291885980835;0.9720753769260106;0.9783839909290047;0.5652614418040465
vtrace1;0.9997569847940018;0.16047571659268337;0.9655678403645728;0.9932297105921511
vtrace1;0.010825825693134302;0.99028534182047;0.5136742578005142;0.010255359193167264
vtrace1;0.4002872726831974;0.039563005855874085;0.1422311520949816;0.8010090354305098
vtrace1;0.9938936392220835;0.9832249187992135;0.9898654766139648;0.6249653813700162
vtrace1;0.9622373340311395;0.017425506792232703;0.40199716304174216;0.9742965538737289
vtrace1;0.0007596498144982663;0.5419810734444386;0.02911975710721686;0.02472012436850309
vtrace1;0.19852914790265724;0.4078642670539812;0.2923170750343877;0.3748757918211609
vtrace1;0.39247280039540344;0.010978833748064435;0.07807182271126815;0.884106760191541
vtrace1;0.8759465111083193;0.9108243454617396;0.8946521350730862;0.45398683206667073
vtrace1;0.08867003920226632;0.3122116419326066;0.1736622276210125;0.31645930267790184
vtrace1;0.38265048707664834;0.7301224023527106;0.5642589606480141;0.32370899739329717
vtrace1;0.9993184329766984;0.9321690636260557;0.9930044783329227;0.911732058574841
vtrace1;0.9996161117033963;0.14273207990381867;0.9541741078338585;0.992067147276726
vtrace1;0.997129735020111;0.19413657362957387;0.901460796045977;0.9743421875168077
vtrace1;0.6643058834791651;0.01995455035273076;0.16717258630375584;0.9079069183622316
vtrace1;0.737133969878027;0.23444634760171898;0.4809782607260638;0.7516158540686185
vtrace1;0.9972672493841317;0.08904267119881996;0.8565793321612398;0.9838974692062481
vtrace1;0.00175588643094811;0.0283093615802819;0.0071077636115149945;0.1972471220079885
vtrace1;0.9947253891177116;0.917588374537096;0.9786430988062406;0.804517161822196
vtrace1;0.9187783875415816;0.9694256977287508;0.9498461037427658;0.37394249501472315
vtrace1;0.3688977809860154;0.8950293050530899;0.6906400936644175;0.20749990392235615
vtrace1;0.3524780987912218;0.8895797541436138;0.6768090307014718;0.20631051908595874
vtrace1;0.3651146868354292;0.999823456493178;0.9827792063880244;0.009976466377207442
vtrace1;0.9958883920732168;0.9535171033750254;0.9860117002934963;0.774583217257625
vtrace1;0.9906679582101429;0.35655264058831737;0.8846563803234;0.9326195204410415
vtrace1;0.5942685412945212;0.41243975668109467;0.5034688401002616;0.5909186236618265
vtrace1;0.33575172552159166;0.013630507255081805;0.07712955741512723;0.8581146374508171
vtrace1;0.9983517368934419;0.2259383438191103;0.9300525667372468;0.9785193174606795
vtrace1;0.10805904257267812;0.002940410442225279;0.018551265640736402;0.8650367642116574
vtrace1;0.28221496910074023;0.0017966247196526195;0.0259125376540168;0.9366285375016313
vtrace1;0.8054568213098131;0.0005756545907378968;0.04655995385476478;0.9883426341647941
vtrace1;0.06392942978719302;0.0014325498179832083;0.009801321304744065;0.8734128501543619
vtrace1;0.9695919950499913;0.8921914763763573;0.942010079021854;0.6624927694809097
vtrace1;0.024850237863523184;0.16519372948671227;0.0663039019466434;0.2640892999050177
vtrace1;0.5063104116833234;0.0031747793579704232;0.054061914534029504;0.9472145554741143
vtrace1;0.09208153038482116;0.9722583175547593;0.6534191387883768;0.05104843692688217
vtrace1;0.08367650076332146;0.6182535118515109;0.27775304707589576;0.19188989660948635
vtrace1;0.9145825458895624;0.007001717774634302;0.21554355070045214;0.9749800948869866
vtrace1;0.9235218352448685;0.003390945609739599;0.1685371683434607;0.9834912704880598
vtrace1;0.0011312624677374129;0.3644538094359224;0.02485112701813211;0.04254965581757625
vtrace1;0.9987024633671324;0.041130711540923924;0.8517628546256375;0.9925900533834849
vtrace1;0.9958228297183795;0.13564847003529507;0.8594840497486272;0.974984453861585
vtrace1;0.8018794432663365;0.4717588307665034;0.6553180903759669;0.6803941614441994
vtrace1;0.9473408238337667;0.004984313117552396;0.23088473566808768;0.9835871334790752
vtrace1;0.03653798927167261;0.906964176944541;0.3781210449480982;0.05870954497194477
vtrace1;0.6896410239240852;0.9624458750456177;0.8829914077077683;0.22747456442833522
vtrace1;0.0009071761604927742;0.945443339697661;0.11145879237918607;0.007186488070551647
vtrace1;0.6429838281014189;0.9822306499740906;0.908905590613489;0.15290367041521208
vtrace1;0.2511515421864248;0.0029638909406694415;0.03060875833016175;0.9139542964245329
vtrace1;0.9368997944308561;0.8408433539460298;0.8985470920799874;0.6263682847832738
vtrace1;0.06943867565402506;0.0006493225735140869;0.0069149011441563026;0.9146509899026146
vtrace1;0.6018730040447262;0.0001346205998708479;0.014066122758806997;0.9906510234789366
vtrace1;0.004856890207955857;0.0994200274289392;0.022685405880163764;0.1737325586891134
vtrace1;0.07072252923745387;0.08855922218525572;0.07918303925215685;0.4695018983978279
vtrace1;0.2881788974550875;0.20031954684232772;0.24153692162339443;0.5597202078854947
vtrace1;0.00880579025191904;0.9327080185259715;0.2597583443540649;0.024691950732680656
vtrace1;0.7878387389152699;0.9883221412508866;0.9466032626316409;0.17319028906218528
vtrace1;0.9989002320180094;0.05536952235603597;0.8794673296982598;0.9920307213526975
vtrace1;0.9993840872206031;0.8508459495456965;0.9897128596805691;0.9440261281425455
vtrace1;0.997449217409458;0.4428802370503524;0.9463260856667336;0.9568572955605763
vtrace1;0.45407785227277725;0.0707418505492447;0.20104457994151717;0.7677359094385132
vtrace1;0.003195650902036291;0.14548530069579227;0.02282941985317904;0.12066450070426854
vtrace1;0.9776299475911594;0.9774872619127806;0.977558715550996;0.5008130154285092
vtrace1;0.14696220016891393;0.00047574432241728195;0.008974159854033912;0.9500628459360954
vtrace1;0.8317674550315137;0.0396926444585203;0.31132310653986045;0.9162264781983996
vtrace1;0.047009638710863805;0.9965784470962976;0.791252312121799;0.012846644703988672
vtrace1;0.0041449530140797676;0.1346610755642506;0.024818476892872122;0.14055656090270693
vtrace1;0.005609889275270311;0.07270681407495508;0.020598636508045425;0.21150424290471206
vtrace1;0.0013056933688447745;0.14893115468777252;0.014900297244309302;0.07955908770492941
vtrace1;0.0017321005201494722;0.17736752196248157;0.018974803120832138;0.08232257001703057
vtrace1;0.01631941499203638;0.9955257383755278;0.6576843754817409;0.008561023180051483
vtrace1;0.14750159914340052;0.9936693843831875;0.8390041911772989;0.03213428933622467
vtrace1;0.9992649534155551;0.618202175989751;0.9791306365123337;0.9666396759094373
vtrace1;0.9738316537089774;0.014209256822689377;0.42276542085504454;0.9806991991133583
vtrace1;0.305734396798619;0.05343511720761425;0.13619555940239644;0.7363565362655328
vtrace1;0.002610016877038385;0.9751995603955104;0.24287118447431855;0.008091771137615014
vtrace1;0.9627902881338961;0.9980314600670618;0.991344603869675;0.18428020861768973
vtrace1;0.09090980787372514;0.9118427013151397;0.5042209468431222;0.08952401529925003
vtrace1;0.970573823135334;0.014705860242754807;0.41232900727046384;0.9791707640948406
vtrace1;0.019536530571100188;0.8960993800444137;0.2930614508342923;0.045861717448268766
vtrace1;0.9961872564018237;0.4185849231775371;0.9320427937923931;0.9501255682227884
