M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.03,1.06,1.04,1.07
1024,1.00,1.03,1.04,1.03,1.02
2048,1.00,0.99,1.03,1.01,1.08
4096,1.00,1.10,0.96,0.94,0.92
8192,1.00,1.12,0.99,0.96,0.92
16384,1.00,1.14,0.98,0.96,0.94
32768,1.00,1.15,0.99,0.96,0.93
65536,,,,,
