M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,0.81,0.83,0.77,0.81
1024,1.00,0.83,0.83,0.80,0.82
2048,1.00,0.84,0.88,0.84,0.84
4096,1.00,0.84,0.87,0.90,0.84
8192,1.00,1.00,0.96,0.90,0.89
16384,1.00,1.13,0.97,0.95,0.90
32768,1.00,1.14,0.98,0.97,0.90
65536,1.00,1.13,1.00,0.96,0.90
