M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,15586.289,16108.372,16491.606,16284.154,16638.626
1024,31784.725,32606.437,32973.462,32623.617,32468.586
2048,63081.378,62427.203,65063.407,63548.037,68334.848
4096,87430.148,96384.339,83924.194,81982.037,80329.835
8192,95791.625,107517.879,95055.824,91935.478,88112.614
16384,99461.929,113326.313,97676.818,95806.572,93361.020
32768,102501.364,117818.507,101082.115,98055.660,95212.794
65536,,,,,
