M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,17476.058,17259.864,16987.127,16653.691,17265.083
1024,34868.709,35435.159,35712.671,34766.814,35133.296
2048,64634.307,67245.409,66609.196,62953.644,59441.388
4096,74796.360,84578.934,75200.330,71338.762,64896.593
8192,78531.831,91901.210,79065.407,75355.042,71566.577
16384,79527.508,95666.530,82673.775,77805.354,73272.914
32768,80754.889,96627.793,84088.409,78725.939,74396.169
65536,81687.669,97785.053,84072.510,78990.529,74403.224
