M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.10,1.15,1.15,1.09
1024,1.00,1.10,1.14,1.08,1.10
2048,1.00,1.18,1.12,1.14,1.16
4096,1.00,1.20,1.11,1.09,1.05
8192,1.00,1.18,1.10,1.05,1.02
16384,1.00,1.25,1.09,1.05,1.03
32768,1.00,1.25,1.09,1.05,1.02
65536,,,,,
