M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,14209.229,16382.613,17735.483,17464.415,16841.867
1024,31007.085,34316.009,35554.255,35855.263,35588.522
2048,57211.975,67117.812,67073.014,63868.856,62534.795
4096,65319.888,85797.618,76059.426,73348.792,70080.872
8192,71874.870,92594.562,81429.093,77618.864,74448.617
16384,74262.525,96011.602,84338.295,79925.153,76254.309
32768,75768.911,99429.368,86216.936,81091.647,77357.679
65536,76071.720,100164.076,86752.058,81784.860,77496.522
