M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,18402.219,18836.734,18028.619,18590.280,19032.148
1024,33835.989,37993.498,33337.228,31897.865,31283.712
2048,36353.587,44112.614,38267.887,37436.972,34979.824
4096,39123.055,48602.839,41010.447,38626.338,36550.544
8192,39555.378,50307.875,42047.928,38977.550,37307.480
16384,39756.308,51662.663,43075.100,40476.944,38517.922
32768,40658.463,51179.107,42463.700,39989.662,38224.132
65536,,,,,
