Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22642,18446,41088,0.5511,1.777
LRU,5236,35852,41088,0.1274,3.453
Marker,17369,23719,41088,0.4227,2.285
OnlineMin,20227,20861,41088,0.4923,2.009
Predict[POPU],29566,11522,41088,0.7196,1.110
PredMark[POPU],24447,16641,41088,0.595,1.603
LMarker[POPU],23544,17544,41088,0.573,1.690
LNonMarker[POPU],24266,16822,41088,0.5906,1.620
FollowerRobust[POPUState],23745,17343,41088,0.5779,1.670
PredictiveOnlineMin[POPU]-msf-100,25176,15912,41088,0.6127,1.533
RPB-OnlineMin[POPU]-msf-100-pb-0,25188,15900,41088,0.613,1.531
RPB-OnlineMin[POPU]-msf-100-pb-1,26997,14091,41088,0.6571,1.357
RPB-OnlineMin[POPU]-msf-100-pb-2,27640,13448,41088,0.6727,1.295
RPB-OnlineMin[POPU]-msf-100-pb-4,27920,13168,41088,0.6795,1.268
RPB-OnlineMin[POPU]-msf-100-pb-8,27947,13141,41088,0.6802,1.266
RPB-OnlineMin[POPU]-msf-100-pb-16,27947,13141,41088,0.6802,1.266
RPB-OM-HC[POPU]-msf-100-pb-0,27753,13335,41088,0.6755,1.284
RPB-OM-HC[POPU]-msf-100-pb-1,27830,13258,41088,0.6773,1.277
RPB-OM-HC[POPU]-msf-100-pb-2,27907,13181,41088,0.6792,1.270
RPB-OM-HC[POPU]-msf-100-pb-4,27942,13146,41088,0.6801,1.266
RPB-OM-HC[POPU]-msf-100-pb-8,27947,13141,41088,0.6802,1.266
RPB-OM-HC[POPU]-msf-100-pb-16,27947,13141,41088,0.6802,1.266
"CombDet[Predict[POPU], LRU]",29564,11524,41088,0.7195,1.110
"CombineRandom[Predict[POPU], LRU]",29384,11704,41088,0.7151,1.127
