Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.040/1.094,0.040/1.094,0.040/1.094,0.040/1.094,0.040/1.094,0.040/1.094,0.040/1.094
LRU,0.029/1.106,0.029/1.106,0.029/1.106,0.029/1.106,0.029/1.106,0.029/1.106,0.029/1.106
Marker,0.040/1.093,0.040/1.093,0.040/1.093,0.040/1.093,0.040/1.093,0.040/1.093,0.040/1.093
OnlineMin,0.038/1.095,0.038/1.095,0.038/1.095,0.038/1.095,0.038/1.095,0.038/1.095,0.038/1.095
Predict[Belady],0.122/1.000,0.112/1.011,0.097/1.029,0.084/1.044,0.080/1.048,0.077/1.051,0.076/1.053
PredMark[Belady],0.067/1.062,0.061/1.069,0.055/1.077,0.051/1.081,0.051/1.081,0.050/1.083,0.049/1.083
LMarker[Belady],0.067/1.062,0.061/1.070,0.054/1.078,0.050/1.082,0.049/1.084,0.049/1.084,0.048/1.084
LNonMarker[Belady],0.067/1.062,0.064/1.066,0.059/1.071,0.055/1.076,0.055/1.077,0.053/1.078,0.054/1.078
FollowerRobust[OracleState],0.122/1.000,0.087/1.040,0.072/1.057,0.065/1.065,0.061/1.070,0.061/1.070,0.061/1.070
PredictiveOnlineMin[Belady]-msf-100,0.122/1.000,0.097/1.028,0.074/1.054,0.059/1.072,0.055/1.077,0.053/1.079,0.051/1.081
RPB-OnlineMin[Belady]-msf-100-pb-0,0.122/1.000,0.097/1.029,0.074/1.055,0.059/1.072,0.055/1.077,0.052/1.080,0.050/1.082
RPB-OnlineMin[Belady]-msf-100-pb-1,0.122/1.000,0.105/1.020,0.086/1.041,0.073/1.056,0.069/1.061,0.068/1.062,0.067/1.063
RPB-OnlineMin[Belady]-msf-100-pb-2,0.122/1.000,0.105/1.019,0.088/1.039,0.076/1.052,0.071/1.058,0.069/1.061,0.068/1.062
RPB-OnlineMin[Belady]-msf-100-pb-4,0.122/1.000,0.106/1.019,0.088/1.038,0.075/1.054,0.072/1.057,0.069/1.061,0.067/1.062
RPB-OnlineMin[Belady]-msf-100-pb-5,0.122/1.000,0.106/1.018,0.087/1.040,0.075/1.053,0.073/1.056,0.068/1.062,0.067/1.062
RPB-OnlineMin[Belady]-msf-100-pb-10,0.122/1.000,0.106/1.018,0.087/1.040,0.076/1.053,0.071/1.058,0.070/1.060,0.067/1.063
RPB-OnlineMin[Belady]-msf-100-pb-20,0.122/1.000,0.106/1.019,0.087/1.040,0.076/1.053,0.071/1.058,0.069/1.061,0.067/1.063
RPB-OnlineMin[Belady]-msf-100-pb-50,0.122/1.000,0.105/1.019,0.088/1.039,0.075/1.054,0.072/1.057,0.069/1.060,0.068/1.061
RPB-OnlineMin[Belady]-msf-100-pb-100,0.122/1.000,0.106/1.018,0.088/1.038,0.076/1.052,0.071/1.058,0.069/1.060,0.068/1.062
RPB-OnlineMin[Belady]-msf-100-pb-200,0.122/1.000,0.106/1.019,0.089/1.038,0.075/1.053,0.072/1.058,0.069/1.061,0.068/1.061
RPB-OnlineMin[Belady]-msf-100-pb-500,0.122/1.000,0.106/1.019,0.089/1.038,0.076/1.052,0.071/1.058,0.069/1.061,0.068/1.061
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.122/1.000,0.106/1.019,0.088/1.039,0.077/1.052,0.070/1.059,0.070/1.059,0.067/1.063
"CombDet[Predict[Belady], LRU]",0.122/1.000,0.112/1.011,0.096/1.029,0.084/1.043,0.080/1.048,0.077/1.051,0.076/1.053
"CombineRandom[Predict[Belady], LRU]",0.122/1.000,0.112/1.012,0.095/1.030,0.082/1.046,0.079/1.049,0.078/1.050,0.075/1.054
