init_top30,bo_top30
-10.9,5.0
-8.9,5.0
-10.7,5.1
-8.1,5.1
-9.4,5.1
-5.5,5.1
4.0,5.1
5.2,5.1
2.2,5.4
0.7,5.2
-1.8,5.3
3.9,5.5
3.9,5.4
-3.1,5.1
-0.5,5.5
6.0,5.3
1.9,5.6
-3.3,5.1
2.4,5.6
-3.9,5.1
4.7,5.6
4.6,5.2
1.3,5.1
11.0,5.6
5.9,5.7
-0.1,5.7
0.4,6.1
4.6,6.0
5.4,6.1
4.5,5.8
