M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.11,1.14,1.10,1.12
1024,1.00,1.11,1.06,1.07,1.04
2048,1.00,1.12,1.13,1.07,1.13
4096,1.00,1.43,1.16,1.23,1.13
8192,1.00,1.31,1.06,1.05,1.04
16384,1.00,1.30,1.07,1.14,1.07
32768,1.00,1.31,1.11,1.11,1.08
65536,,,,,
