M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,0.91,0.91,0.88,0.90
1024,1.00,0.85,0.88,0.89,0.87
2048,1.00,0.91,0.88,0.91,0.89
4096,1.00,0.92,0.90,0.93,0.91
8192,1.00,1.24,1.14,1.10,1.05
16384,1.00,1.30,1.16,1.13,1.06
32768,1.00,1.30,1.16,1.12,1.04
65536,1.00,1.30,1.17,0.47,0.66
