M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.05,1.03,1.06,1.02
1024,1.00,1.03,1.02,1.10,1.05
2048,1.00,1.07,1.07,1.01,1.05
4096,1.00,1.33,1.19,1.17,1.13
8192,1.00,1.31,1.14,1.09,1.09
16384,1.00,1.38,1.20,1.14,1.12
32768,1.00,1.38,1.22,1.14,1.13
65536,,,,,
