M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,8272.145,8780.665,8800.026,8828.671,8740.494
1024,16315.732,17502.196,17740.054,17156.246,17014.083
2048,20297.873,27559.609,23931.287,22311.263,21525.394
4096,20674.604,29398.507,25032.743,23438.427,22411.254
8192,21195.189,29412.477,25082.328,23625.926,22819.144
16384,21276.608,29471.334,25085.413,12287.270,8438.577
32768,21436.811,8753.066,6544.828,5754.019,5409.502
65536,,,,,
