"Model_Name","Theta_ATLAS","Theta_WLE","SE","Num_Items","Time_Taken_Sec"
"222gate/Blur-4x7b-MOE-v0.1",1.00084171116673,1.09399736168152,0.0532609534404783,30,0.294148683547974
"abacusai/Smaug-Mixtral-v0.1",0.580899568581699,0.278711576236413,0.0579979649357742,30,0.304375648498535
"abhishek/autotrain-xva0j-mixtral8x7b",-0.2799074119512,-0.818158161575184,0.116963977457429,30,1.66399145126343
"abideen/MonarchCoder-MoE-2x7B",1.0939705983996,1.06376048059732,0.0540059207680549,30,1.84719967842102
"abideen/NexoNimbus-MoE-2x7B",0.248713930075949,0.33230915739208,0.0673272241644102,30,1.77253746986389
"AetherResearch/Cerebrum-1.0-8x7b",-0.420813616298514,-0.356406964811638,0.105321077910088,30,1.78249406814575
"AIGeekLabs/radiantloom-mixtral-8x7b-fusion",-0.244884641896457,-0.101039240713394,0.116759840531674,30,0.498430490493774
"alykassem/ds_diasum_md_mixtral",-0.192602567409358,-0.496706732879573,0.115871715933048,30,1.65409588813782
"amu/zen_moe",0.0933638278415581,0.0822012733327632,0.0803629222731753,30,1.04526209831238
"andysalerno/cloudymixtral7Bx2-nectar-0.2",0.747888637848551,0.371508380990776,0.0598799772252783,30,0.536591291427612
"Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled",0.00309519980073447,-0.122668400831027,0.0865349391976571,30,0.434306621551514
"argilla/notus-8x7b-experiment",0.0636557235786831,0.041715323764616,0.080117276048042,30,0.971353769302368
"argilla/notux-8x7b-v1",-0.000353427943903252,0.0198160741250585,0.0906674431829853,30,1.97606372833252
"argilla/notux-8x7b-v1-epoch-2",0.19040042389201,0.0585766158296628,0.0699225193867025,30,1.57885980606079
"arlineka/Brunhilde-2x7b-MOE-DPO-v.01.5",0.749844829690844,0.744805294612904,0.0582729339042022,30,1.68513345718384
"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",-0.038246086180471,-0.115378100329729,0.0923623989426074,30,1.55303049087524
"Cartinoe5930/MoE-Merging",-0.0317692688438229,0.0396812915544025,0.08962561684462,30,0.530711650848389
"ChaoticNeutrals/RPMix-4x7B-MoE",0.99796398187151,0.982446187474431,0.0531536371355162,30,0.64080810546875
"chargoddard/average-dolphin-8x7B",-0.294812825345291,-0.298874207371033,0.11950896304081,30,0.966768980026245
"chargoddard/mixtralmerge-8x7B-rebalanced-test",-0.449025482692283,-0.320994154769094,0.110490900807446,30,1.77301335334778
"chargoddard/MixtralRPChat-ZLoss",-0.153426090978446,-0.138898388121883,0.112952224697591,30,1.82998275756836
"cloudyu/19B_MATH_DPO",0.426624084207873,0.255111126150496,0.0702394837404333,30,0.499910354614258
"cloudyu/19B_TRUTH_DPO",0.300802289850353,0.126290722225718,0.0644830540549328,30,1.56726145744324
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.348674634422965,0.05670438546974,0.0649940633626147,30,0.5126051902771
"cloudyu/60B_MoE_Coder_v3",-0.195725390958071,-0.0981334184203957,0.113970822854487,30,1.1551821231842
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",-0.035040801304707,-0.118186358105256,0.0919694969500159,30,1.95984745025635
"cloudyu/Mixtral_11Bx2_MoE_19B",0.286971062675824,0.241082652987721,0.0641737780262546,30,1.36116337776184
"cloudyu/Mixtral_13B_Chat",0.495335051857876,0.446934941783194,0.0633911932315614,30,0.639193773269653
