Protein,PCC
CD11c,0.9538643
CD14,0.927284
CD3,0.92622805
CD4,0.90954953
CD34,0.8923496
CD19,0.89212275
CD10,0.8778841
CCR7,0.873213
CCR5,0.86632705
CD16,0.84831274
CD56,0.8285606
CD45RA,0.8012095
CD8,0.71773994
