init_top30,bo_top30
5.0,6.6
5.0,6.8
6.2,7.3
6.4,7.4
6.3,6.8
5.9,6.7
5.8,7.7
5.3,7.6
6.2,6.6
6.1,9.0
5.8,6.9
5.6,7.0
5.5,7.6
5.2,6.7
6.5,8.3
5.9,7.2
5.9,7.8
6.5,7.0
5.5,6.7
12.3,7.2
6.7,6.9
6.5,7.0
6.5,7.6
6.2,7.8
6.2,6.9
5.4,7.3
5.9,7.2
6.0,6.7
8.1,7.1
6.4,7.2
