probe_value_key,threshold,n_non_ties,accuracy,correct,pred_berw_count,pred_berw_rate,pred_cma_label_cma,pred_cma_label_berw,pred_berw_label_cma,pred_berw_label_berw
misranking_rd,0.0,428,0.4929906542056075,211,428,1.0,0,0,217,211
misranking_rd,0.005,428,0.6752336448598131,289,322,0.7523364485981309,92,14,125,197
misranking_rd,0.01,428,0.6962616822429907,298,299,0.6985981308411215,108,21,109,190
misranking_rd,0.015,428,0.6962616822429907,298,299,0.6985981308411215,108,21,109,190
misranking_rd,0.02,428,0.7126168224299065,305,286,0.6682242990654206,118,24,99,187
misranking_rd,0.025,428,0.7126168224299065,305,286,0.6682242990654206,118,24,99,187
misranking_rd,0.03,428,0.7313084112149533,313,276,0.6448598130841121,127,25,90,186
misranking_rd,0.035,428,0.7313084112149533,313,276,0.6448598130841121,127,25,90,186
misranking_rd,0.04,428,0.7406542056074766,317,272,0.6355140186915887,131,25,86,186
misranking_rd,0.045,428,0.7383177570093458,316,271,0.633177570093458,131,26,86,185
misranking_rd,0.05,428,0.7383177570093458,316,271,0.633177570093458,131,26,86,185
misranking_rd,0.055,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.06,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.065,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.07,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.075,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.08,428,0.7453271028037384,319,268,0.6261682242990654,134,26,83,185
misranking_rd,0.085,428,0.75,321,266,0.6214953271028038,136,26,81,185
misranking_rd,0.09,428,0.75,321,264,0.616822429906542,137,27,80,184
misranking_rd,0.095,428,0.75,321,264,0.616822429906542,137,27,80,184
misranking_rd,0.1,428,0.75,321,264,0.616822429906542,137,27,80,184
misranking_rd,0.105,428,0.75,321,264,0.616822429906542,137,27,80,184
misranking_rd,0.11,428,0.7523364485981309,322,263,0.6144859813084113,138,27,79,184
misranking_rd,0.115,428,0.7523364485981309,322,263,0.6144859813084113,138,27,79,184
misranking_rd,0.12,428,0.7546728971962616,323,262,0.6121495327102804,139,27,78,184
misranking_rd,0.125,428,0.75,321,258,0.602803738317757,140,30,77,181
misranking_rd,0.13,428,0.75,321,258,0.602803738317757,140,30,77,181
misranking_rd,0.135,428,0.7476635514018691,320,257,0.6004672897196262,140,31,77,180
misranking_rd,0.14,428,0.7476635514018691,320,257,0.6004672897196262,140,31,77,180
misranking_rd,0.145,428,0.7523364485981309,322,255,0.5957943925233645,142,31,75,180
misranking_rd,0.15,428,0.7523364485981309,322,255,0.5957943925233645,142,31,75,180
misranking_rd,0.155,428,0.7546728971962616,323,254,0.5934579439252337,143,31,74,180
misranking_rd,0.16,428,0.7546728971962616,323,254,0.5934579439252337,143,31,74,180
misranking_rd,0.165,428,0.7616822429906542,326,251,0.5864485981308412,146,31,71,180
misranking_rd,0.17,428,0.7616822429906542,326,251,0.5864485981308412,146,31,71,180
misranking_rd,0.17500000000000002,428,0.7616822429906542,326,251,0.5864485981308412,146,31,71,180
misranking_rd,0.18,428,0.7616822429906542,326,247,0.5771028037383178,148,33,69,178
misranking_rd,0.185,428,0.7616822429906542,326,247,0.5771028037383178,148,33,69,178
misranking_rd,0.19,428,0.7593457943925234,325,246,0.5747663551401869,148,34,69,177
misranking_rd,0.195,428,0.7593457943925234,325,246,0.5747663551401869,148,34,69,177
misranking_rd,0.2,428,0.7546728971962616,323,242,0.5654205607476636,149,37,68,174
misranking_rd,0.20500000000000002,428,0.75,321,238,0.5560747663551402,150,40,67,171
misranking_rd,0.21,428,0.75,321,238,0.5560747663551402,150,40,67,171
misranking_rd,0.215,428,0.7453271028037384,319,232,0.5420560747663551,152,44,65,167
misranking_rd,0.22,428,0.7453271028037384,319,232,0.5420560747663551,152,44,65,167
misranking_rd,0.225,428,0.735981308411215,315,228,0.5327102803738317,152,48,65,163
misranking_rd,0.23,428,0.735981308411215,315,228,0.5327102803738317,152,48,65,163
misranking_rd,0.23500000000000001,428,0.7289719626168224,312,225,0.5257009345794392,152,51,65,160
misranking_rd,0.24,428,0.7289719626168224,312,225,0.5257009345794392,152,51,65,160
misranking_rd,0.245,428,0.7266355140186916,311,220,0.514018691588785,154,54,63,157
misranking_rd,0.25,428,0.7126168224299065,305,212,0.4953271028037383,155,61,62,150
misranking_rd,0.255,428,0.7126168224299065,305,212,0.4953271028037383,155,61,62,150
misranking_rd,0.26,428,0.7032710280373832,301,198,0.46261682242990654,160,70,57,141
misranking_rd,0.265,428,0.7032710280373832,301,198,0.46261682242990654,160,70,57,141
misranking_rd,0.27,428,0.6892523364485982,295,186,0.43457943925233644,163,79,54,132
misranking_rd,0.275,428,0.6892523364485982,295,186,0.43457943925233644,163,79,54,132
misranking_rd,0.28,428,0.6845794392523364,293,176,0.411214953271028,167,85,50,126
misranking_rd,0.28500000000000003,428,0.6728971962616822,288,161,0.37616822429906543,172,95,45,116
misranking_rd,0.29,428,0.6728971962616822,288,161,0.37616822429906543,172,95,45,116
misranking_rd,0.295,428,0.6518691588785047,279,142,0.3317757009345794,177,109,40,102
misranking_rd,0.3,428,0.6518691588785047,279,142,0.3317757009345794,177,109,40,102
