GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,Llama3.2-1B,64,7.04e+01,96.6%,104.7%,96.6%,90.5%,96.1%,107.1%,112.1%
A100,Llama3.2-1B,128,7.15e+01,101.0%,110.4%,101.7%,96.4%,100.4%,112.5%,117.1%
A100,Llama3.2-1B,256,9.09e+01,105.1%,107.3%,102.8%,98.5%,106.4%,111.1%,115.3%
A100,Llama3.2-1B,512,1.31e+02,104.4%,111.5%,102.1%,100.9%,108.3%,116.3%,121.1%
A100,Llama3.2-1B,1024,2.04e+02,102.7%,108.3%,97.5%,95.4%,103.6%,111.4%,113.4%
A100,Llama3.2-1B,2048,3.99e+02,99.8%,103.9%,97.4%,94.0%,104.4%,108.5%,107.3%
A100,Llama3.2-1B,4096,7.36e+02,99.3%,104.5%,93.6%,92.2%,99.4%,106.1%,108.5%
A100,Llama3.2-1B,8192,1.42e+03,98.0%,105.0%,92.8%,91.7%,98.6%,105.9%,106.0%
A100,Llama3.2-1B,16384,2.91e+03,99.3%,106.4%,97.1%,93.5%,100.6%,107.1%,109.2%
A100,BitNet-2B,64,6.69e+01,93.4%,103.9%,98.3%,101.0%,93.1%,99.2%,108.7%
A100,BitNet-2B,128,7.10e+01,98.5%,107.5%,107.5%,108.2%,101.1%,109.7%,114.9%
A100,BitNet-2B,256,8.20e+01,96.8%,107.0%,110.1%,108.3%,103.7%,111.5%,114.6%
A100,BitNet-2B,512,1.30e+02,98.1%,110.3%,112.2%,110.2%,107.4%,114.7%,117.2%
A100,BitNet-2B,1024,2.20e+02,97.5%,109.7%,106.9%,108.8%,105.6%,109.6%,113.7%
A100,BitNet-2B,2048,4.11e+02,92.3%,104.7%,105.5%,104.4%,98.9%,106.7%,106.6%
A100,BitNet-2B,4096,7.56e+02,92.9%,104.5%,107.5%,105.2%,98.7%,106.1%,107.1%
A100,BitNet-2B,8192,1.56e+03,94.0%,108.0%,106.4%,102.5%,99.4%,105.9%,107.0%
A100,BitNet-2B,16384,3.13e+03,94.5%,104.0%,104.5%,101.3%,98.2%,104.6%,105.5%
A100,Llama3.2-3B,64,8.72e+01,99.7%,105.1%,102.0%,99.7%,91.8%,110.2%,108.7%
A100,Llama3.2-3B,128,8.70e+01,101.5%,103.5%,104.3%,102.2%,96.2%,106.1%,111.0%
A100,Llama3.2-3B,256,1.23e+02,105.7%,108.6%,112.6%,104.6%,98.1%,111.0%,113.1%
A100,Llama3.2-3B,512,1.75e+02,104.0%,107.5%,107.3%,104.0%,97.1%,109.2%,109.8%
A100,Llama3.2-3B,1024,2.86e+02,103.6%,106.2%,102.2%,103.1%,94.2%,109.2%,109.9%
A100,Llama3.2-3B,2048,5.55e+02,103.8%,104.2%,100.9%,100.2%,91.2%,106.9%,105.4%
A100,Llama3.2-3B,4096,1.12e+03,102.0%,102.9%,99.6%,99.7%,88.2%,103.8%,103.9%
A100,Llama3.2-3B,8192,2.33e+03,102.3%,105.4%,100.6%,102.3%,91.7%,105.7%,105.0%
A100,Llama3.2-3B,16384,4.63e+03,102.5%,104.2%,100.9%,101.8%,92.9%,105.2%,105.4%
A100,Qwen2.5-7B,64,1.67e+02,99.8%,104.9%,106.3%,96.7%,100.7%,,
A100,Qwen2.5-7B,128,1.74e+02,103.0%,107.6%,108.1%,100.0%,105.2%,,
A100,Qwen2.5-7B,256,2.21e+02,100.4%,106.3%,107.3%,93.4%,101.7%,,
A100,Qwen2.5-7B,512,3.83e+02,99.1%,103.8%,104.2%,92.3%,100.2%,,
A100,Qwen2.5-7B,1024,7.37e+02,100.9%,103.0%,102.1%,91.9%,98.2%,,
A100,Qwen2.5-7B,2048,1.29e+03,91.7%,96.6%,96.2%,84.9%,92.3%,,
A100,Qwen2.5-7B,4096,2.65e+03,97.9%,102.0%,101.7%,90.3%,98.0%,,
A100,Qwen2.5-7B,8192,5.20e+03,97.7%,102.7%,101.7%,90.6%,97.4%,,
A100,Qwen2.5-7B,16384,1.03e+04,97.9%,102.9%,102.0%,90.2%,97.7%,,
A100,Qwen2.5-14B,64,1.66e+02,100.2%,102.9%,103.5%,99.1%,98.6%,102.9%,103.3%
A100,Qwen2.5-14B,128,1.72e+02,103.1%,105.7%,105.7%,101.7%,100.3%,106.8%,108.2%
A100,Qwen2.5-14B,256,2.35e+02,101.9%,104.5%,107.2%,96.9%,94.2%,107.2%,107.9%
A100,Qwen2.5-14B,512,3.99e+02,100.6%,104.2%,103.0%,93.4%,90.5%,103.7%,104.6%
