GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
RTX4090,Llama3.2-1B,64,8.29e+01,130.0%,133.1%,126.0%,127.1%,107.1%,142.2%,130.0%
RTX4090,Llama3.2-1B,128,7.94e+01,117.8%,122.3%,115.0%,111.7%,96.5%,118.9%,124.3%
RTX4090,Llama3.2-1B,256,8.73e+01,104.8%,105.5%,107.0%,51.7%,60.3%,62.8%,57.9%
RTX4090,Llama3.2-1B,512,1.60e+02,125.4%,132.2%,126.8%,56.8%,62.2%,64.8%,65.2%
RTX4090,Llama3.2-1B,1024,2.41e+02,111.2%,115.4%,112.7%,55.2%,59.8%,49.7%,53.3%
RTX4090,Llama3.2-1B,2048,4.50e+02,110.0%,114.4%,108.5%,51.8%,50.4%,82.1%,46.3%
RTX4090,Llama3.2-1B,4096,8.05e+02,98.1%,102.8%,99.9%,45.7%,82.7%,89.7%,82.2%
RTX4090,Llama3.2-1B,8192,1.62e+03,100.3%,103.0%,100.2%,78.3%,82.3%,91.9%,91.9%
RTX4090,Llama3.2-1B,16384,3.23e+03,99.3%,102.0%,99.2%,99.2%,101.1%,102.4%,103.0%
RTX4090,BitNet-2B,64,7.92e+01,104.8%,121.4%,127.6%,97.2%,124.5%,122.9%,128.6%
RTX4090,BitNet-2B,128,8.04e+01,94.7%,118.4%,123.5%,106.7%,120.3%,119.7%,124.6%
RTX4090,BitNet-2B,256,9.80e+01,98.1%,108.4%,115.6%,102.2%,110.6%,117.4%,116.1%
RTX4090,BitNet-2B,512,1.61e+02,102.1%,105.6%,106.7%,106.0%,105.8%,108.0%,108.6%
RTX4090,BitNet-2B,1024,2.91e+02,100.0%,103.6%,104.8%,104.2%,104.1%,105.2%,106.0%
RTX4090,BitNet-2B,2048,5.05e+02,100.2%,102.5%,104.0%,102.6%,100.7%,103.8%,104.0%
RTX4090,BitNet-2B,4096,9.41e+02,99.1%,102.1%,102.2%,101.2%,98.7%,102.6%,102.6%
RTX4090,BitNet-2B,8192,1.82e+03,98.6%,102.6%,102.0%,101.2%,99.7%,101.8%,102.0%
RTX4090,BitNet-2B,16384,3.63e+03,98.7%,101.2%,101.6%,100.0%,99.4%,100.6%,102.0%
RTX4090,Llama3.2-3B,64,9.15e+01,112.9%,123.5%,112.9%,121.6%,115.0%,55.6%,136.5%
RTX4090,Llama3.2-3B,128,8.72e+01,93.5%,98.5%,112.2%,77.1%,61.4%,64.0%,59.7%
RTX4090,Llama3.2-3B,256,1.33e+02,117.6%,121.6%,122.4%,46.8%,53.8%,33.2%,44.4%
RTX4090,Llama3.2-3B,512,2.77e+02,137.5%,133.7%,105.4%,43.9%,41.2%,69.2%,62.0%
RTX4090,Llama3.2-3B,1024,4.51e+02,122.4%,123.3%,120.5%,32.0%,48.1%,55.1%,86.3%
RTX4090,Llama3.2-3B,2048,6.58e+02,100.8%,101.5%,100.3%,49.8%,91.3%,54.9%,57.7%
RTX4090,Llama3.2-3B,4096,1.30e+03,101.1%,102.7%,100.1%,68.1%,98.8%,74.1%,58.1%
RTX4090,Llama3.2-3B,8192,2.60e+03,100.7%,101.5%,100.4%,100.5%,96.6%,101.2%,101.0%
RTX4090,Llama3.2-3B,16384,5.24e+03,101.5%,101.7%,100.7%,100.8%,99.5%,102.4%,103.4%
RTX4090,Qwen2.5-7B,64,1.98e+02,100.3%,102.6%,97.1%,34.2%,64.5%,50.9%,76.9%
RTX4090,Qwen2.5-7B,128,2.06e+02,90.5%,97.4%,102.8%,35.3%,35.0%,24.3%,49.6%
RTX4090,Qwen2.5-7B,256,4.10e+02,159.1%,161.8%,162.8%,76.0%,76.7%,26.1%,82.5%
RTX4090,Qwen2.5-7B,512,4.62e+02,105.9%,107.5%,106.7%,42.6%,41.0%,36.9%,53.3%
RTX4090,Qwen2.5-7B,1024,8.38e+02,100.9%,102.6%,102.8%,47.5%,56.0%,38.1%,44.6%
RTX4090,Qwen2.5-7B,2048,1.61e+03,99.8%,101.3%,100.5%,70.7%,99.6%,70.5%,102.6%
RTX4090,Qwen2.5-7B,4096,3.06e+03,99.3%,102.0%,101.6%,96.7%,91.7%,94.5%,100.0%
RTX4090,Qwen2.5-7B,8192,6.06e+03,99.3%,101.5%,101.2%,99.7%,102.5%,102.9%,103.9%
RTX4090,Qwen2.5-7B,16384,1.21e+04,98.9%,100.2%,99.9%,98.4%,101.2%,102.4%,101.5%
RTX4090,Qwen2.5-14B,64,1.91e+02,102.0%,101.5%,102.4%,39.2%,16.4%,37.3%,45.6%
RTX4090,Qwen2.5-14B,128,2.02e+02,67.1%,100.9%,99.6%,22.0%,33.4%,19.8%,47.8%
RTX4090,Qwen2.5-14B,256,4.00e+02,130.3%,122.0%,120.6%,26.1%,37.1%,39.2%,40.3%
RTX4090,Qwen2.5-14B,512,5.71e+02,92.4%,93.7%,96.4%,28.4%,33.1%,31.8%,34.1%
RTX4090,Qwen2.5-14B,1024,9.74e+02,99.1%,100.3%,96.7%,62.4%,65.1%,61.8%,84.5%
RTX4090,Qwen2.5-14B,2048,1.80e+03,99.2%,99.5%,95.7%,94.6%,94.8%,69.5%,102.5%
RTX4090,Qwen2.5-14B,4096,3.52e+03,99.8%,100.5%,93.8%,96.9%,93.7%,100.0%,100.5%
RTX4090,Qwen2.5-14B,8192,7.05e+03,99.7%,100.5%,101.0%,94.7%,99.0%,101.1%,101.9%
RTX4090,Qwen2.5-14B,16384,1.40e+04,98.4%,100.0%,99.8%,99.2%,98.8%,101.7%,101.9%
H100,Llama3.2-1B,64,4.00e+01,113.7%,123.2%,121.3%,122.8%,128.1%,134.5%,126.3%
H100,Llama3.2-1B,128,4.39e+01,111.3%,123.7%,118.8%,118.6%,123.7%,128.1%,123.7%
H100,Llama3.2-1B,256,5.64e+01,107.0%,113.7%,112.5%,109.9%,113.0%,117.3%,120.9%
