GPU,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,64,5.73e+00,121.9%,139.3%,150.9%,154.8%,159.2%,165.0%,185.7%
A100,128,6.18e+00,123.7%,139.1%,141.4%,147.3%,151.6%,154.7%,176.8%
A100,256,6.88e+00,117.5%,134.2%,136.8%,142.5%,148.9%,152.0%,165.8%
A100,512,8.27e+00,118.0%,127.6%,132.4%,128.4%,137.9%,140.8%,151.7%
A100,1024,1.60e+01,111.8%,122.2%,125.2%,127.7%,125.8%,131.3%,138.7%
A100,2048,6.89e+01,104.9%,115.3%,115.6%,117.3%,115.9%,118.3%,103.7%
A100,4096,3.26e+02,91.3%,97.0%,102.5%,98.5%,94.7%,91.9%,91.7%
A100,8192,3.08e+03,87.7%,101.6%,102.1%,89.9%,91.4%,93.3%,89.5%
A100,16384,3.06e+04,99.5%,103.3%,103.6%,105.2%,101.2%,101.8%,101.6%
RTX4090,64,9.46e+00,134.7%,148.5%,172.8%,150.0%,173.1%,176.8%,48.0%
RTX4090,128,9.22e+00,132.0%,133.7%,145.7%,39.6%,125.6%,150.7%,37.6%
RTX4090,256,1.05e+01,136.4%,151.7%,145.5%,26.5%,70.1%,167.0%,34.1%
RTX4090,512,1.06e+01,122.3%,129.9%,138.6%,17.2%,17.7%,18.0%,35.1%
RTX4090,1024,1.53e+01,122.9%,114.8%,110.0%,14.3%,14.7%,15.0%,131.2%
RTX4090,2048,6.16e+01,103.2%,104.8%,104.1%,9.0%,9.2%,10.3%,114.0%
RTX4090,4096,4.46e+02,101.3%,102.5%,104.0%,102.0%,79.6%,108.1%,108.2%
RTX4090,8192,3.40e+03,100.5%,100.8%,100.9%,100.0%,101.1%,102.3%,101.5%
RTX4090,16384,2.91e+04,100.4%,100.3%,100.2%,102.6%,102.0%,101.3%,102.1%
H100,64,0,,,,,,,
H100,128,,,,,,,,
H100,256,,,,,,,,
H100,512,,,,,,,,
H100,1024,,,,,,,,
H100,2048,,,,,,,,
H100,4096,,,,,,,,
H100,8192,,,,,,,,
H100,16384,,,,,,,,
B200,64,6.21e+00,134.8%,151.7%,161.8%,166.7%,173.3%,176.9%,202.2%
B200,128,6.21e+00,134.9%,150.0%,160.0%,168.7%,173.5%,175.0%,200.0%
B200,256,6.21e+00,133.3%,151.8%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,512,6.22e+00,133.3%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,1024,7.33e+00,117.8%,132.6%,141.4%,147.3%,151.5%,154.7%,176.7%
B200,2048,1.30e+01,119.7%,118.1%,126.0%,131.2%,135.0%,137.8%,140.2%
B200,4096,5.55e+01,93.8%,100.0%,92.8%,96.7%,97.4%,100.5%,100.0%
B200,8192,4.09e+02,98.3%,99.4%,98.0%,95.8%,91.1%,94.1%,102.5%
B200,16384,3.64e+03,94.9%,100.3%,101.1%,100.2%,99.9%,100.9%,101.8%
RTX5080,64,4.09e+00,133.3%,147.1%,160.0%,166.7%,178.0%,175.0%,200.0%
RTX5080,128,4.10e+00,133.3%,147.3%,105.7%,110.1%,113.3%,115.6%,135.7%
RTX5080,256,6.16e+00,133.3%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
RTX5080,512,6.19e+00,101.0%,112.1%,119.6%,124.6%,126.4%,125.5%,121.2%
RTX5080,1024,1.64e+01,106.3%,108.6%,115.8%,110.4%,113.6%,116.0%,120.2%
RTX5080,2048,1.00e+02,102.0%,103.9%,103.5%,104.6%,105.3%,105.2%,105.9%
RTX5080,4096,6.33e+02,100.9%,101.9%,101.7%,101.3%,102.3%,102.5%,102.8%
RTX5080,8192,4.99e+03,98.7%,96.1%,99.9%,97.6%,98.5%,97.7%,101.7%
RTX5080,16384,4.74e+04,94.1%,96.1%,97.3%,96.9%,98.6%,97.2%,98.0%
GB10,64,4.19e+00,128.5%,140.9%,150.2%,158.5%,165.2%,168.6%,192.7%
GB10,128,4.67e+00,100.5%,102.2%,111.3%,120.8%,129.2%,126.8%,150.7%
GB10,256,6.87e+00,142.1%,164.8%,160.0%,177.6%,188.3%,177.9%,206.6%
GB10,512,7.57e+00,114.5%,135.4%,138.8%,129.8%,142.6%,140.9%,146.9%
GB10,1024,2.68e+01,107.7%,115.2%,110.1%,113.3%,115.2%,114.8%,120.0%
GB10,2048,1.39e+02,101.9%,105.1%,100.9%,104.0%,107.0%,98.1%,100.6%
GB10,4096,1.15e+03,55.5%,64.3%,50.7%,59.0%,61.8%,63.0%,59.6%
GB10,8192,2.50e+04,98.8%,97.2%,97.8%,77.2%,76.2%,100.5%,100.0%
GB10,16384,2.02e+05,75.5%,99.1%,99.6%,100.6%,100.3%,99.1%,98.1%
