GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
RTX4090,Llama3.2-1B,64,1.03e+04,109.2%,124.3%,131.0%
RTX4090,Llama3.2-1B,128,1.38e+04,128.0%,145.5%,153.6%
RTX4090,Llama3.2-1B,256,2.12e+04,119.2%,140.7%,145.8%
RTX4090,Llama3.2-1B,512,2.05e+04,126.9%,141.3%,149.2%
RTX4090,BitNet-2B,64,6.77e+03,127.4%,138.3%,142.2%
RTX4090,BitNet-2B,128,1.12e+04,123.8%,143.3%,152.9%
RTX4090,BitNet-2B,256,1.67e+04,119.9%,133.5%,140.9%
RTX4090,BitNet-2B,512,1.62e+04,125.9%,140.2%,142.1%
RTX4090,Llama3.2-3B,64,5.76e+03,121.1%,131.6%,133.9%
RTX4090,Llama3.2-3B,128,9.24e+03,124.5%,135.8%,144.9%
RTX4090,Llama3.2-3B,256,1.30e+04,123.9%,135.4%,135.9%
RTX4090,Llama3.2-3B,512,1.29e+04,121.9%,130.8%,136.8%
RTX4090,Qwen2.5-7B,64,4.46e+03,114.8%,121.3%,136.3%
RTX4090,Qwen2.5-7B,128,7.62e+03,116.7%,121.2%,128.0%
RTX4090,Qwen2.5-7B,256,9.82e+03,116.7%,126.2%,132.0%
RTX4090,Qwen2.5-7B,512,9.81e+03,120.5%,128.4%,130.6%
RTX4090,Qwen2.5-14B,64,2.88e+03,78.3%,47.3%,
RTX4090,Qwen2.5-14B,128,4.27e+03,78.7%,61.4%,33.2%
RTX4090,Qwen2.5-14B,256,3.81e+03,87.6%,49.7%,
RTX4090,Qwen2.5-14B,512,3.74e+03,55.1%,,
H100,Llama3.2-1B,64,1.49e+04,128.0%,126.0%,150.4%
H100,Llama3.2-1B,128,2.04e+04,131.9%,148.4%,158.3%
H100,Llama3.2-1B,256,3.02e+04,130.6%,148.4%,150.0%
H100,Llama3.2-1B,512,3.14e+04,133.3%,148.5%,156.8%
H100,BitNet-2B,64,9.41e+03,129.3%,140.8%,146.9%
H100,BitNet-2B,128,1.50e+04,128.2%,142.8%,152.3%
H100,BitNet-2B,256,2.18e+04,128.0%,144.0%,150.4%
H100,BitNet-2B,512,2.32e+04,128.1%,142.6%,147.5%
H100,Llama3.2-3B,64,8.68e+03,124.0%,139.5%,144.0%
H100,Llama3.2-3B,128,1.39e+04,130.7%,144.2%,149.1%
H100,Llama3.2-3B,256,1.96e+04,122.7%,139.5%,144.0%
H100,Llama3.2-3B,512,2.06e+04,124.1%,141.1%,142.6%
H100,Qwen2.5-7B,64,7.62e+03,119.9%,129.4%,133.6%
H100,Qwen2.5-7B,128,1.23e+04,120.0%,136.4%,142.5%
H100,Qwen2.5-7B,256,1.69e+04,119.2%,132.7%,134.5%
H100,Qwen2.5-7B,512,1.75e+04,119.9%,132.1%,135.0%
H100,Qwen2.5-14B,64,4.92e+03,114.9%,128.1%,132.9%
H100,Qwen2.5-14B,128,7.52e+03,113.5%,131.4%,133.6%
H100,Qwen2.5-14B,256,1.00e+04,119.2%,127.4%,128.8%
H100,Qwen2.5-14B,512,1.02e+04,117.5%,129.7%,132.9%
B200,Llama3.2-1B,64,2.05e+04,130.7%,129.0%,155.2%
B200,Llama3.2-1B,128,2.94e+04,130.7%,144.0%,155.2%
B200,Llama3.2-1B,256,4.53e+04,113.5%,129.2%,131.5%
B200,Llama3.2-1B,512,4.87e+04,129.3%,147.0%,155.2%
B200,BitNet-2B,64,1.18e+04,128.8%,143.2%,152.7%
B200,BitNet-2B,128,2.10e+04,128.2%,144.2%,152.2%
B200,BitNet-2B,256,3.04e+04,130.6%,143.9%,153.5%
B200,BitNet-2B,512,3.66e+04,128.1%,144.1%,152.2%
B200,Llama3.2-3B,64,1.31e+04,129.1%,143.6%,151.5%
B200,Llama3.2-3B,128,2.13e+04,128.1%,144.1%,152.2%
B200,Llama3.2-3B,256,3.29e+04,129.3%,139.5%,152.0%
B200,Llama3.2-3B,512,3.59e+04,129.4%,142.7%,150.7%
B200,Qwen2.5-7B,64,1.32e+04,122.5%,135.1%,142.7%
B200,Qwen2.5-7B,128,2.00e+04,125.8%,138.7%,132.8%
B200,Qwen2.5-7B,256,2.90e+04,123.2%,141.4%,141.7%
B200,Qwen2.5-7B,512,3.31e+04,124.6%,137.4%,145.0%
