GPU,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
B200,64,6.16e+00,135.3%,148.9%,176.4%,169.1%,170.2%,176.3%,201.5%
B200,128,6.20e+00,132.4%,148.9%,176.4%,166.7%,170.2%,173.7%,200.0%
B200,256,6.19e+00,132.4%,148.9%,160.0%,165.5%,170.2%,173.7%,198.5%
B200,512,6.24e+00,132.4%,150.0%,158.8%,165.4%,171.4%,173.7%,198.5%
B200,1024,6.25e+00,118.5%,135.6%,129.2%,132.1%,141.0%,142.6%,152.6%
B200,2048,1.03e+01,130.2%,150.0%,160.0%,164.7%,142.9%,175.0%,200.0%
B200,4096,2.30e+01,107.0%,120.4%,104.7%,109.1%,124.9%,129.6%,130.9%
B200,8192,1.15e+02,88.9%,105.6%,90.9%,98.8%,105.8%,105.9%,103.7%
B200,16384,9.07e+02,96.0%,100.0%,91.7%,86.7%,84.6%,93.3%,93.3%
RTX5080,64,4.08e+00,132.0%,148.5%,158.4%,165.0%,169.8%,173.3%,198.1%
RTX5080,128,4.12e+00,134.7%,150.0%,161.6%,168.3%,171.4%,176.7%,200.0%
RTX5080,256,4.10e+00,133.3%,148.5%,158.4%,165.0%,169.7%,173.3%,198.0%
RTX5080,512,6.12e+00,133.3%,150.0%,157.7%,164.3%,168.9%,175.0%,197.1%
RTX5080,1024,6.15e+00,100.3%,112.9%,120.4%,125.4%,129.0%,131.7%,150.5%
GB10,64,5.90e+00,137.1%,150.0%,161.5%,169.8%,179.6%,181.7%,213.3%
GB10,128,5.80e+00,124.6%,143.0%,151.0%,165.1%,161.8%,175.0%,200.0%
GB10,256,6.14e+00,133.3%,148.6%,160.0%,165.2%,171.4%,175.0%,198.2%
GB10,512,6.17e+00,132.0%,145.5%,122.0%,127.1%,130.7%,136.9%,152.5%
GB10,1024,1.23e+01,101.6%,126.8%,120.0%,111.1%,128.6%,131.3%,150.0%
GB10,2048,4.31e+01,84.2%,108.6%,105.3%,100.9%,90.2%,110.5%,110.5%
GB10,4096,3.10e+02,92.3%,105.8%,86.2%,87.6%,96.7%,109.9%,110.3%
GB10,8192,2.32e+03,87.7%,102.7%,87.7%,100.5%,103.3%,103.1%,104.1%
