GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
A100,Llama3.2-1B,64,1.23e+04,121.2%,124.1%,139.6%
A100,Llama3.2-1B,128,1.67e+04,124.4%,144.3%,147.8%
A100,Llama3.2-1B,256,2.45e+04,128.3%,141.6%,148.0%
A100,Llama3.2-1B,512,2.50e+04,129.7%,145.9%,149.7%
A100,BitNet-2B,64,8.22e+03,127.6%,142.2%,147.6%
A100,BitNet-2B,128,1.25e+04,125.1%,138.2%,144.6%
A100,BitNet-2B,256,1.81e+04,124.0%,138.2%,144.6%
A100,BitNet-2B,512,1.87e+04,124.2%,138.5%,146.3%
A100,Llama3.2-3B,64,7.31e+03,127.2%,139.0%,145.3%
A100,Llama3.2-3B,128,1.18e+04,124.1%,137.1%,144.8%
A100,Llama3.2-3B,256,1.61e+04,125.1%,139.4%,145.8%
A100,Llama3.2-3B,512,1.68e+04,124.3%,136.0%,141.0%
A100,Qwen2.5-7B,64,6.24e+03,121.6%,134.4%,138.2%
A100,Qwen2.5-7B,128,9.88e+03,120.1%,130.2%,136.2%
A100,Qwen2.5-7B,256,1.30e+04,118.5%,128.6%,132.1%
A100,Qwen2.5-7B,512,1.29e+04,118.1%,128.2%,133.1%
A100,Qwen2.5-14B,64,3.95e+03,118.7%,128.9%,135.0%
A100,Qwen2.5-14B,128,6.02e+03,120.4%,131.9%,134.2%
A100,Qwen2.5-14B,256,7.79e+03,117.5%,125.6%,130.4%
A100,Qwen2.5-14B,512,7.55e+03,117.1%,125.4%,130.3%
RTX4090,Llama3.2-1B,64,1.08e+04,122.9%,126.5%,130.8%
RTX4090,Llama3.2-1B,128,1.44e+04,130.7%,145.6%,149.1%
RTX4090,Llama3.2-1B,256,2.18e+04,119.8%,143.1%,149.6%
RTX4090,Llama3.2-1B,512,2.16e+04,128.4%,141.7%,148.1%
RTX4090,BitNet-2B,64,7.31e+03,124.4%,137.1%,144.8%
RTX4090,BitNet-2B,128,1.23e+04,119.7%,141.0%,146.3%
RTX4090,BitNet-2B,256,1.74e+04,126.6%,142.4%,142.5%
RTX4090,BitNet-2B,512,1.77e+04,125.4%,142.2%,140.9%
RTX4090,Llama3.2-3B,64,5.56e+03,132.0%,146.9%,150.2%
RTX4090,Llama3.2-3B,128,9.85e+03,127.8%,140.0%,146.7%
RTX4090,Llama3.2-3B,256,1.34e+04,126.4%,140.9%,147.6%
RTX4090,Llama3.2-3B,512,1.36e+04,124.2%,134.6%,140.9%
RTX4090,Qwen2.5-7B,64,4.88e+03,122.4%,115.6%,118.0%
RTX4090,Qwen2.5-7B,128,8.36e+03,119.2%,118.2%,122.4%
RTX4090,Qwen2.5-7B,256,1.07e+04,122.5%,123.2%,130.1%
RTX4090,Qwen2.5-7B,512,1.10e+04,120.6%,126.2%,132.1%
RTX4090,Qwen2.5-14B,64,2.96e+03,78.4%,49.5%,
RTX4090,Qwen2.5-14B,128,4.16e+03,86.9%,67.7%,36.6%
