GPU,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,64,5.37e+00,129.5%,148.6%,156.9%,163.5%,159.9%,173.3%,196.2%
A100,128,5.63e+00,125.6%,144.2%,146.2%,155.4%,159.9%,164.9%,190.4%
A100,256,5.84e+00,118.1%,140.0%,134.1%,144.4%,150.2%,153.3%,175.2%
A100,512,6.74e+00,119.4%,138.6%,135.6%,133.3%,151.8%,155.0%,169.5%
A100,1024,1.15e+01,107.3%,127.1%,128.8%,129.9%,124.9%,137.9%,149.2%
A100,2048,3.90e+01,117.4%,112.0%,108.2%,109.2%,125.6%,115.8%,119.7%
A100,4096,1.68e+02,88.7%,104.9%,87.8%,101.1%,102.4%,101.1%,104.9%
A100,8192,1.39e+03,96.2%,98.6%,94.2%,84.5%,83.8%,98.3%,98.6%
A100,16384,1.15e+04,83.8%,100.5%,99.8%,93.3%,96.7%,97.9%,83.5%
RTX4090,64,9.07e+00,138.4%,151.4%,150.9%,60.3%,68.6%,58.3%,66.7%
RTX4090,128,2.04e+01,313.9%,312.5%,390.0%,107.6%,110.7%,113.0%,133.3%
RTX4090,256,9.69e+00,142.3%,151.4%,166.2%,43.3%,44.5%,45.4%,50.0%
RTX4090,512,8.77e+00,125.6%,133.9%,148.1%,27.5%,29.8%,30.4%,33.1%
RTX4090,1024,1.14e+01,120.3%,145.6%,142.7%,21.2%,18.5%,20.6%,21.6%
RTX4090,2048,2.60e+01,112.6%,108.5%,96.3%,11.3%,13.3%,12.7%,13.6%
RTX4090,4096,1.58e+02,85.9%,106.7%,85.9%,11.2%,58.7%,78.7%,79.2%
RTX4090,8192,1.21e+03,100.8%,100.3%,101.0%,82.3%,82.5%,102.8%,102.5%
RTX4090,16384,9.67e+03,79.7%,98.1%,98.6%,95.4%,94.9%,98.0%,95.6%
H100,64,5.06e+00,134.9%,150.0%,161.8%,162.8%,165.5%,171.0%,193.1%
H100,128,5.17e+00,131.8%,146.5%,156.3%,157.0%,161.5%,164.8%,193.0%
H100,256,5.24e+00,124.7%,143.5%,149.7%,154.1%,156.7%,161.8%,137.6%
H100,512,6.02e+00,134.7%,151.6%,158.3%,156.3%,166.1%,169.5%,189.6%
H100,1024,8.62e+00,107.7%,133.8%,137.8%,134.6%,129.2%,146.7%,160.0%
H100,2048,1.98e+01,105.5%,111.1%,109.4%,110.8%,117.2%,121.8%,126.6%
H100,4096,1.07e+02,102.1%,110.2%,106.2%,113.3%,111.2%,108.0%,114.1%
H100,8192,7.35e+02,96.7%,86.0%,93.6%,87.7%,80.2%,93.1%,87.7%
H100,16384,7.00e+03,87.9%,111.5%,92.1%,104.3%,106.3%,104.6%,105.0%
B200,64,6.18e+00,135.1%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,128,6.20e+00,133.3%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,256,6.21e+00,138.5%,150.0%,160.0%,166.7%,171.4%,175.0%,202.6%
B200,512,6.20e+00,133.3%,150.0%,160.0%,165.0%,171.4%,173.3%,200.0%
B200,1024,6.22e+00,122.4%,148.9%,158.8%,148.0%,129.2%,168.5%,171.6%
B200,2048,1.03e+01,111.2%,125.7%,118.9%,119.5%,143.0%,145.9%,164.5%
B200,4096,2.88e+01,93.6%,111.8%,97.7%,106.4%,112.4%,112.4%,112.7%
B200,8192,1.83e+02,91.9%,99.9%,89.5%,82.7%,82.4%,96.3%,95.5%
B200,16384,1.58e+03,83.6%,93.8%,93.5%,85.4%,87.5%,91.9%,89.4%
RTX5080,64,4.09e+00,132.0%,150.0%,161.6%,165.0%,171.4%,173.3%,200.0%
RTX5080,128,4.04e+00,98.4%,147.1%,156.9%,163.4%,168.1%,171.6%,229.1%
RTX5080,256,4.14e+00,134.7%,151.5%,160.0%,166.7%,151.1%,175.0%,200.0%
RTX5080,512,4.08e+00,99.5%,147.9%,156.7%,109.6%,119.8%,121.1%,132.9%
RTX5080,1024,8.20e+00,131.6%,149.0%,128.2%,133.6%,136.2%,139.1%,158.9%
RTX5080,2048,3.69e+01,103.5%,108.1%,97.4%,97.3%,106.5%,108.7%,113.0%
RTX5080,4096,2.17e+02,91.6%,102.1%,92.3%,101.2%,102.0%,103.1%,104.3%
RTX5080,8192,1.62e+03,97.7%,96.9%,97.4%,84.9%,85.2%,97.8%,99.4%
RTX5080,16384,1.31e+04,87.5%,99.4%,99.9%,98.7%,98.3%,100.3%,101.9%
GB10,64,4.19e+00,136.0%,141.0%,160.0%,173.3%,173.1%,175.0%,200.0%
GB10,128,4.33e+00,134.7%,156.2%,164.9%,173.5%,176.7%,182.2%,179.4%
GB10,256,4.15e+00,128.9%,97.1%,111.6%,128.9%,132.5%,132.4%,154.6%
GB10,512,6.20e+00,133.3%,124.8%,160.0%,148.5%,157.9%,175.0%,200.0%
GB10,1024,1.65e+01,106.1%,115.0%,123.8%,122.9%,116.4%,127.7%,134.3%
GB10,2048,8.09e+01,114.9%,115.9%,100.2%,88.1%,121.3%,119.5%,120.3%
GB10,4096,5.08e+02,88.6%,98.7%,87.4%,98.7%,97.0%,101.3%,98.7%
GB10,8192,4.13e+03,99.5%,101.7%,96.4%,84.5%,84.5%,100.7%,95.9%
GB10,16384,3.34e+04,64.5%,75.5%,74.3%,67.7%,67.5%,71.1%,63.2%
