GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
A100,Llama3.2-1B,512,1.05e+04,134.8%,143.2%,160.0%
A100,Llama3.2-1B,1024,2.09e+04,111.4%,148.2%,158.1%
A100,Llama3.2-1B,2048,4.12e+04,125.6%,148.3%,163.7%
A100,Llama3.2-1B,4096,7.97e+04,125.8%,150.0%,158.2%
A100,Llama3.2-1B,8192,1.40e+05,117.8%,134.7%,129.6%
A100,Llama3.2-1B,16384,1.56e+05,115.3%,125.7%,121.1%
A100,Llama3.2-1B,32768,1.60e+05,114.7%,124.0%,119.5%
A100,BitNet-2B,512,9.43e+03,137.3%,158.8%,171.0%
A100,BitNet-2B,1024,1.89e+04,137.2%,164.6%,172.4%
A100,BitNet-2B,2048,3.83e+04,139.8%,158.7%,169.3%
A100,BitNet-2B,4096,7.52e+04,113.5%,127.7%,130.8%
A100,BitNet-2B,8192,8.11e+04,110.5%,124.3%,127.4%
A100,BitNet-2B,16384,8.33e+04,109.8%,123.5%,126.5%
A100,BitNet-2B,32768,8.43e+04,110.0%,122.7%,125.7%
A100,Llama3.2-3B,512,1.06e+04,134.6%,150.0%,155.6%
A100,Llama3.2-3B,1024,2.10e+04,133.3%,151.4%,156.9%
A100,Llama3.2-3B,2048,4.27e+04,135.7%,150.0%,161.4%
A100,Llama3.2-3B,4096,6.51e+04,114.0%,120.8%,120.8%
A100,Llama3.2-3B,8192,6.70e+04,114.0%,119.8%,119.7%
A100,Llama3.2-3B,16384,6.88e+04,113.5%,120.2%,119.3%
A100,Llama3.2-3B,32768,6.95e+04,112.8%,119.4%,118.5%
A100,Qwen2.5-7B,512,1.07e+04,139.7%,160.0%,166.1%
A100,Qwen2.5-7B,1024,2.23e+04,134.4%,142.7%,147.1%
A100,Qwen2.5-7B,2048,3.24e+04,109.6%,116.0%,117.8%
A100,Qwen2.5-7B,4096,3.47e+04,108.1%,115.4%,117.4%
A100,Qwen2.5-7B,8192,3.59e+04,108.5%,115.1%,117.2%
A100,Qwen2.5-7B,16384,3.65e+04,107.4%,114.9%,116.1%
A100,Qwen2.5-7B,32768,3.63e+04,107.4%,114.9%,115.2%
A100,Qwen2.5-14B,512,6.65e+03,134.6%,147.1%,164.7%
