GPU,Model,M,cuSPARSELt 2:4 Throughput (token/s),Eff_2:6,Eff_2:8,Eff_2:10
B200,Qwen2.5-7B,1024,4.08e+04,133.3%,150.0%,158.5%
B200,Qwen2.5-7B,2048,7.46e+04,137.1%,152.9%,167.6%
B200,Qwen2.5-7B,4096,1.39e+05,113.2%,123.5%,125.0%
B200,Qwen2.5-7B,8192,1.51e+05,110.6%,122.0%,124.9%
B200,Qwen2.5-7B,16384,1.61e+05,109.9%,118.8%,120.3%
B200,Qwen2.5-7B,32768,1.66e+05,110.1%,117.9%,120.6%
B200,Qwen2.5-14B,512,1.19e+04,128.3%,148.6%,158.5%
B200,Qwen2.5-14B,1024,2.40e+04,130.8%,151.4%,160.0%
B200,Qwen2.5-14B,2048,4.94e+04,124.6%,141.6%,157.0%
B200,Qwen2.5-14B,4096,7.73e+04,110.6%,120.7%,121.0%
B200,Qwen2.5-14B,8192,8.00e+04,115.7%,124.0%,126.9%
B200,Qwen2.5-14B,16384,8.57e+04,97.6%,116.9%,119.7%
B200,Qwen2.5-14B,32768,8.82e+04,107.3%,117.2%,121.2%
RTX5080,Llama3.2-1B,512,3.65e+04,136.1%,143.8%,164.9%
RTX5080,Llama3.2-1B,1024,7.03e+04,133.3%,145.6%,147.6%
RTX5080,Llama3.2-1B,2048,9.44e+04,114.3%,122.9%,125.1%
RTX5080,Llama3.2-1B,4096,9.65e+04,115.3%,121.8%,125.1%
RTX5080,Llama3.2-1B,8192,9.58e+04,114.3%,120.7%,125.1%
RTX5080,Llama3.2-1B,16384,9.42e+04,115.2%,121.6%,124.8%
RTX5080,Llama3.2-1B,32768,9.36e+04,115.2%,121.6%,124.8%
RTX5080,BitNet-2B,512,2.89e+04,133.3%,151.4%,157.1%
RTX5080,BitNet-2B,1024,4.59e+04,113.4%,120.5%,119.7%
RTX5080,BitNet-2B,2048,4.96e+04,115.6%,122.2%,123.3%
RTX5080,BitNet-2B,4096,5.06e+04,113.0%,119.6%,122.9%
RTX5080,BitNet-2B,8192,4.82e+04,113.7%,120.2%,123.5%
RTX5080,BitNet-2B,16384,4.73e+04,112.6%,120.0%,123.3%
RTX5080,BitNet-2B,32768,4.71e+04,114.4%,120.9%,124.2%
RTX5080,Llama3.2-3B,512,2.94e+04,125.5%,132.4%,135.8%
RTX5080,Llama3.2-3B,1024,3.75e+04,115.0%,120.2%,120.9%
RTX5080,Llama3.2-3B,2048,4.17e+04,111.6%,115.3%,117.6%
RTX5080,Llama3.2-3B,4096,4.04e+04,113.5%,117.0%,119.1%
RTX5080,Llama3.2-3B,8192,3.92e+04,113.3%,117.9%,118.9%
RTX5080,Llama3.2-3B,16384,3.87e+04,113.2%,118.7%,119.7%
RTX5080,Llama3.2-3B,32768,3.87e+04,113.2%,118.7%,119.7%
RTX5080,Qwen2.5-7B,512,1.84e+04,110.8%,116.2%,117.2%
RTX5080,Qwen2.5-7B,1024,1.99e+04,107.2%,113.5%,114.6%
RTX5080,Qwen2.5-7B,2048,2.03e+04,108.8%,112.5%,113.7%
RTX5080,Qwen2.5-7B,4096,2.00e+04,111.6%,114.3%,115.4%
RTX5080,Qwen2.5-7B,8192,1.99e+04,109.9%,113.5%,114.6%
RTX5080,Qwen2.5-7B,16384,1.98e+04,110.7%,114.3%,115.4%
RTX5080,Qwen2.5-7B,32768,1.97e+04,,,
RTX5080,Qwen2.5-14B,512,,,,
RTX5080,Qwen2.5-14B,1024,,,,
RTX5080,Qwen2.5-14B,2048,,,,
RTX5080,Qwen2.5-14B,4096,,,,
RTX5080,Qwen2.5-14B,8192,,,,
RTX5080,Qwen2.5-14B,16384,,,,
RTX5080,Qwen2.5-14B,32768,,,,
GB10,Llama3.2-1B,512,2.96e+04,118.8%,125.5%,133.8%
GB10,Llama3.2-1B,1024,3.19e+04,119.2%,129.8%,132.3%
GB10,Llama3.2-1B,2048,3.42e+04,118.2%,124.5%,129.8%
GB10,Llama3.2-1B,4096,3.39e+04,117.0%,128.8%,128.3%
GB10,Llama3.2-1B,8192,3.28e+04,119.4%,130.0%,132.6%
GB10,Llama3.2-1B,16384,3.30e+04,122.0%,131.6%,134.3%
GB10,Llama3.2-1B,32768,3.40e+04,122.0%,130.2%,134.3%
GB10,BitNet-2B,512,1.50e+04,125.9%,140.3%,140.7%
GB10,BitNet-2B,1024,1.72e+04,119.6%,130.4%,136.1%
GB10,BitNet-2B,2048,1.83e+04,115.9%,124.8%,128.6%
