GPU,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
RTX4090,64,1.02e+01,140.5%,142.0%,174.3%,59.5%,61.2%,101.6%,71.4%
RTX4090,128,9.01e+00,139.5%,128.1%,161.2%,42.3%,43.5%,165.6%,52.3%
RTX4090,256,9.20e+00,122.2%,152.5%,142.7%,34.7%,35.7%,166.3%,41.7%
RTX4090,512,9.30e+00,118.1%,138.5%,155.1%,25.4%,27.5%,144.3%,29.0%
RTX4090,1024,1.21e+01,116.5%,147.1%,150.7%,19.4%,18.3%,40.8%,21.4%
RTX4090,2048,3.30e+01,103.6%,108.0%,104.2%,9.5%,9.8%,10.0%,13.7%
RTX4090,4096,2.25e+02,99.8%,101.9%,101.0%,63.3%,100.8%,101.1%,101.6%
RTX4090,8192,1.72e+03,100.5%,102.5%,101.3%,100.5%,97.3%,101.1%,103.5%
RTX4090,16384,1.37e+04,96.8%,98.8%,98.5%,97.8%,98.9%,99.3%,100.0%
H100,64,4.88e+00,124.9%,143.7%,156.6%,157.9%,162.4%,163.9%,189.5%
H100,128,5.06e+00,129.0%,145.2%,153.1%,84.2%,156.7%,159.9%,187.1%
H100,256,5.08e+00,121.6%,140.1%,144.2%,150.2%,154.5%,155.8%,182.4%
H100,512,5.65e+00,125.2%,139.0%,146.3%,146.3%,156.8%,160.1%,180.5%
H100,1024,8.69e+00,111.4%,133.6%,135.9%,134.7%,133.9%,148.6%,164.4%
H100,2048,1.99e+01,104.7%,112.1%,107.7%,110.6%,120.2%,121.0%,127.1%
H100,4096,1.02e+02,95.9%,92.2%,89.9%,91.5%,91.9%,94.9%,95.4%
H100,8192,9.10e+02,99.6%,102.3%,88.3%,100.6%,95.7%,104.5%,102.6%
H100,16384,7.40e+03,86.3%,93.6%,94.3%,104.0%,101.1%,104.2%,105.2%
B200,64,6.20e+00,133.3%,151.6%,161.7%,166.7%,173.2%,175.0%,200.0%
B200,128,6.19e+00,133.3%,150.0%,160.0%,166.7%,171.4%,178.9%,200.0%
B200,256,6.21e+00,133.3%,150.0%,160.0%,166.7%,171.4%,178.8%,200.0%
B200,512,6.21e+00,133.3%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,1024,6.21e+00,115.8%,148.4%,153.0%,133.7%,128.1%,159.6%,162.6%
B200,2048,1.03e+01,112.0%,126.0%,134.4%,125.0%,144.0%,147.0%,168.0%
B200,4096,3.02e+01,93.6%,109.3%,95.4%,104.9%,109.0%,111.3%,109.9%
B200,8192,1.98e+02,88.4%,101.2%,90.2%,85.3%,81.7%,101.7%,100.0%
B200,16384,1.64e+03,77.1%,86.8%,86.5%,82.0%,81.5%,86.1%,85.4%
RTX5080,64,4.12e+00,133.3%,148.1%,160.0%,166.7%,171.4%,175.0%,197.5%
RTX5080,128,4.13e+00,133.3%,151.9%,160.0%,166.7%,171.4%,175.0%,200.0%
RTX5080,256,4.13e+00,89.4%,100.6%,107.3%,111.8%,115.0%,117.4%,131.7%
RTX5080,512,6.14e+00,133.3%,150.0%,160.0%,161.8%,168.9%,175.0%,191.2%
RTX5080,1024,1.03e+01,95.2%,107.1%,100.6%,106.0%,107.8%,110.0%,115.7%
RTX5080,2048,5.12e+01,100.0%,103.8%,95.4%,92.9%,102.2%,106.6%,109.0%
RTX5080,4096,3.24e+02,95.4%,98.4%,97.0%,97.4%,96.5%,98.5%,99.5%
RTX5080,8192,2.60e+03,100.8%,99.7%,100.0%,99.4%,100.3%,100.4%,100.0%
RTX5080,16384,2.09e+04,100.4%,100.9%,101.1%,102.5%,101.5%,100.6%,101.1%
GB10,64,5.35e+00,131.9%,145.3%,160.0%,166.7%,171.4%,173.2%,202.1%
GB10,128,5.03e+00,137.3%,154.5%,156.8%,160.0%,166.3%,169.8%,208.0%
GB10,256,5.16e+00,112.0%,126.0%,134.4%,137.8%,144.0%,144.7%,168.0%
GB10,512,6.38e+00,103.4%,117.9%,124.1%,127.6%,131.2%,135.7%,153.1%
GB10,1024,1.85e+01,109.7%,112.1%,112.1%,118.4%,120.2%,121.0%,119.6%
GB10,2048,8.61e+01,106.4%,105.9%,108.9%,103.6%,109.5%,107.4%,109.2%
GB10,4096,6.03e+02,101.4%,104.1%,104.5%,106.1%,103.4%,102.7%,104.1%
GB10,8192,4.75e+03,102.6%,101.2%,101.6%,99.2%,102.0%,101.4%,101.6%
GB10,16384,3.80e+04,84.2%,95.7%,94.2%,86.3%,87.5%,94.3%,93.6%
