Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.00040916461148299277,0.00021564977942034602,Combined_Low
actuator_only_0p02,20,0.000438323913840577,0.00021901946456637233,Combined_Low
actuator_only_0p1,20,0.000171008039615117,0.0001302973978454247,Combined_Low
state_only_0p01,20,0.00026443865499459207,0.00015495224215555936,Combined_Low
state_only_0p05,20,0.000713067885953933,0.0004332485841587186,Combined_Low
baseline_clean,30,0.00014867461868561804,9.95653317659162e-05,Combined_Low
actuator_only_0p02,30,0.00016476049495395273,0.00010812122491188347,Combined_Low
actuator_only_0p1,30,8.041172259254381e-05,3.212797309970483e-05,Combined_Low
state_only_0p01,30,0.00017808984557632357,8.353640441782773e-05,Combined_Low
state_only_0p05,30,0.0003747028240468353,0.00024345287238247693,Combined_Low
baseline_clean,40,3.610789281083271e-05,1.4448532056121621e-05,Combined_Low
actuator_only_0p02,40,3.7854053516639397e-05,1.5063727914821357e-05,Combined_Low
actuator_only_0p1,40,3.0429137041210197e-05,7.278336852323264e-06,Combined_Low
state_only_0p01,40,4.630307375919074e-05,1.889762279461138e-05,Combined_Low
state_only_0p05,40,0.0002227338554803282,0.00014842730888631195,Combined_Low
baseline_clean,60,6.800918345106766e-05,1.9982348021585494e-05,Combined_Low
actuator_only_0p02,60,6.806374585721642e-05,2.0335844965302385e-05,Combined_Low
actuator_only_0p1,60,6.49324938422069e-05,2.1992002075421624e-05,Combined_Low
state_only_0p01,60,3.386500975466333e-05,9.335310096503235e-06,Combined_Low
state_only_0p05,60,0.0001407984527759254,8.397744386456907e-05,Combined_Low
baseline_clean,80,0.0004489734419621527,7.680500857532024e-05,Combined_Low
actuator_only_0p02,80,0.00044594850623980165,6.732933252351359e-05,Combined_Low
actuator_only_0p1,80,0.000561450666282326,0.0001530727167846635,Combined_Low
state_only_0p01,80,3.376901804585941e-05,9.648484592617024e-06,Combined_Low
state_only_0p05,80,0.0001266927138203755,6.910975935170427e-05,Combined_Low
baseline_clean,100,0.00141139084007591,0.0010422207415103912,Combined_Low
actuator_only_0p02,100,0.001400009379722178,0.0010224349098280072,Combined_Low
actuator_only_0p1,100,0.0011800233041867614,0.0007140104426071048,Combined_Low
state_only_0p01,100,4.2124793253606185e-05,1.0257413123326842e-05,Combined_Low
state_only_0p05,100,0.00012584359501488507,6.680277147097513e-05,Combined_Low
