Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.001435527577996254,0.00028402270982041955,Combined_High
actuator_only_0p02,20,0.00145236577372998,0.000288821553112939,Combined_High
actuator_only_0p1,20,0.0012338602682575583,0.000433308508945629,Combined_High
state_only_0p01,20,0.0007041934877634048,0.00018152302072849125,Combined_High
state_only_0p05,20,0.0040097301825881,0.00047662676661275327,Combined_High
baseline_clean,30,0.0013148242142051458,0.00033213963615708053,Combined_High
actuator_only_0p02,30,0.0013474349398165941,0.00032109773019328713,Combined_High
actuator_only_0p1,30,0.001435589394532144,0.00032756797736510634,Combined_High
state_only_0p01,30,0.0008715356816537678,0.00018670124700292945,Combined_High
state_only_0p05,30,0.0034442555624991655,0.00030745717231184244,Combined_High
baseline_clean,40,0.0014005419798195362,0.0005309903062880039,Combined_High
actuator_only_0p02,40,0.001412966288626194,0.0005057274247519672,Combined_High
actuator_only_0p1,40,0.0015046150656417012,0.0005337611655704677,Combined_High
state_only_0p01,40,0.0009560618782415986,0.00032191257923841476,Combined_High
state_only_0p05,40,0.0033164506312459707,0.00041289214277639985,Combined_High
baseline_clean,60,0.0020841944497078657,0.0007575259660370648,Combined_High
actuator_only_0p02,60,0.0021453602239489555,0.0007660876726731658,Combined_High
actuator_only_0p1,60,0.00167396932374686,0.0007131558959372342,Combined_High
state_only_0p01,60,0.0011347633553668857,0.00047022910439409316,Combined_High
state_only_0p05,60,0.003290895139798522,0.0004330314404796809,Combined_High
baseline_clean,80,0.002418333664536476,0.0009933443507179618,Combined_High
actuator_only_0p02,80,0.002381860977038741,0.000980212353169918,Combined_High
actuator_only_0p1,80,0.0023060853127390146,0.0009568774257786572,Combined_High
state_only_0p01,80,0.0014779184712097049,0.0006150490953586996,Combined_High
state_only_0p05,80,0.0035935030318796635,0.00047715287655591965,Combined_High
baseline_clean,100,0.002937150653451681,0.001220877398736775,Combined_High
actuator_only_0p02,100,0.002933152951300144,0.001233851769939065,Combined_High
actuator_only_0p1,100,0.0027429298497736454,0.001157058635726571,Combined_High
state_only_0p01,100,0.001838082098402083,0.000785188574809581,Combined_High
state_only_0p05,100,0.0038258382119238377,0.0005589235224761069,Combined_High
