Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0004090027359779924,0.0002154654503101483,State_Low
actuator_only_0p02,20,0.00043813945376314223,0.00021883993758819997,State_Low
actuator_only_0p1,20,0.0001711688528303057,0.00013037478493060917,State_Low
state_only_0p01,20,0.0002644725318532437,0.00015499198343604803,State_Low
state_only_0p05,20,0.0007135169580578804,0.0004334544646553695,State_Low
baseline_clean,30,0.00014882416871841997,9.960932220565155e-05,State_Low
actuator_only_0p02,30,0.00016490487905684859,0.00010818784357979894,State_Low
actuator_only_0p1,30,8.07043252279982e-05,3.222890154574998e-05,State_Low
state_only_0p01,30,0.00017852363816928118,8.358927152585238e-05,State_Low
state_only_0p05,30,0.00037445692578330636,0.00024335112539120018,State_Low
baseline_clean,40,3.613644730648957e-05,1.4419014405575581e-05,State_Low
actuator_only_0p02,40,3.789894617511891e-05,1.502915893070167e-05,State_Low
actuator_only_0p1,40,3.0431079721893184e-05,7.2494958658353426e-06,State_Low
state_only_0p01,40,4.6052020479692146e-05,1.8851353161153384e-05,State_Low
state_only_0p05,40,0.0002225555945187807,0.00014855271729175001,State_Low
baseline_clean,60,6.798056710977107e-05,1.9944114683312364e-05,State_Low
actuator_only_0p02,60,6.809399201301858e-05,2.030281029874459e-05,State_Low
actuator_only_0p1,60,6.480310548795387e-05,2.193439104303252e-05,State_Low
state_only_0p01,60,3.367535100551322e-05,9.269258043786976e-06,State_Low
state_only_0p05,60,0.00014034331252332777,8.37069601402618e-05,State_Low
baseline_clean,80,0.0004486283869482577,7.672617357457057e-05,State_Low
actuator_only_0p02,80,0.00044561998220160604,6.723996193613857e-05,State_Low
actuator_only_0p1,80,0.0005596717237494886,0.0001525396219221875,State_Low
state_only_0p01,80,3.3799249649746343e-05,9.64166974881664e-06,State_Low
state_only_0p05,80,0.0001267999323317781,6.919863517396152e-05,State_Low
baseline_clean,100,0.001409926568157971,0.0010433363495394588,State_Low
actuator_only_0p02,100,0.0013992424355819821,0.0010248833568766713,State_Low
actuator_only_0p1,100,0.0011832197196781635,0.0007116696215234697,State_Low
state_only_0p01,100,4.2030489566968754e-05,1.0202918929280713e-05,State_Low
state_only_0p05,100,0.0001256658579222858,6.672269955743104e-05,State_Low
