Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.00040477048605680466,0.00021449191262945533,Actuator_Low
actuator_only_0p02,20,0.0004340294690337032,0.00021759141236543655,Actuator_Low
actuator_only_0p1,20,0.0001736905542202294,0.000129922351334244,Actuator_Low
state_only_0p01,20,0.0002740244672168046,0.00015918523422442377,Actuator_Low
state_only_0p05,20,0.0007073814049363136,0.00043297893716953695,Actuator_Low
baseline_clean,30,0.00015391124179586768,0.00010532130545470864,Actuator_Low
actuator_only_0p02,30,0.00017021129315253347,0.00011360350617906079,Actuator_Low
actuator_only_0p1,30,8.01830756245181e-05,3.438136263866909e-05,Actuator_Low
state_only_0p01,30,0.00017433176981285214,8.189111395040527e-05,Actuator_Low
state_only_0p05,30,0.0003734416386578232,0.0002450159518048167,Actuator_Low
baseline_clean,40,2.6260971935698763e-05,1.4029543308424763e-05,Actuator_Low
actuator_only_0p02,40,2.832952668541111e-05,1.4619104149460327e-05,Actuator_Low
actuator_only_0p1,40,1.942577728186734e-05,7.137693955883151e-06,Actuator_Low
state_only_0p01,40,4.5785356633132324e-05,1.948487806657795e-05,Actuator_Low
state_only_0p05,40,0.0002249021054012701,0.0001528666471131146,Actuator_Low
baseline_clean,60,2.415257586108055e-05,1.3194616258260794e-05,Actuator_Low
actuator_only_0p02,60,2.747459257079754e-05,1.5406572856591083e-05,Actuator_Low
actuator_only_0p1,60,1.2216917639307212e-05,3.5854659472533967e-06,Actuator_Low
state_only_0p01,60,3.274197661085054e-05,8.390324182983022e-06,Actuator_Low
state_only_0p05,60,0.0001433173893019557,8.670304669067264e-05,Actuator_Low
baseline_clean,80,0.0007755649276077747,0.000367912114597857,Actuator_Low
actuator_only_0p02,80,0.0008668649825267494,0.00034558854531496763,Actuator_Low
actuator_only_0p1,80,0.0004591757897287607,0.0002121518919011578,Actuator_Low
state_only_0p01,80,2.8240498068043962e-05,9.00147369975457e-06,Actuator_Low
state_only_0p05,80,0.00012754974886775017,6.965924694668502e-05,Actuator_Low
baseline_clean,100,0.0014665680937469006,0.0010916508035734296,Actuator_Low
actuator_only_0p02,100,0.00147671636659652,0.0010934632737189531,Actuator_Low
actuator_only_0p1,100,0.001283328398130834,0.0008298986358568072,Actuator_Low
state_only_0p01,100,2.76525279332418e-05,8.869748853612691e-06,Actuator_Low
state_only_0p05,100,0.00012565820361487567,6.566559750353917e-05,Actuator_Low
