Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0004054522723890841,0.00021508238569367677,Actuator_Mid
actuator_only_0p02,20,0.000434656860306859,0.00021823006682097912,Actuator_Mid
actuator_only_0p1,20,0.0001731512602418661,0.00012961606262251735,Actuator_Mid
state_only_0p01,20,0.00027398011297918856,0.00015909220383036882,Actuator_Mid
state_only_0p05,20,0.0007056446047499776,0.0004321838787291199,Actuator_Mid
baseline_clean,30,0.0001534592593088746,0.00010485466191312298,Actuator_Mid
actuator_only_0p02,30,0.00016975184553302824,0.00011314995208522305,Actuator_Mid
actuator_only_0p1,30,7.9268058470916e-05,3.389815174159594e-05,Actuator_Mid
state_only_0p01,30,0.00017282433691434562,8.163267193594947e-05,Actuator_Mid
state_only_0p05,30,0.0003745701105799526,0.0002454277710057795,Actuator_Mid
baseline_clean,40,2.6562702259980142e-05,1.4061291949474253e-05,Actuator_Mid
actuator_only_0p02,40,2.8590195142896846e-05,1.4668315088783856e-05,Actuator_Mid
actuator_only_0p1,40,1.9871818949468434e-05,7.147657925088424e-06,Actuator_Mid
state_only_0p01,40,4.6832323278067634e-05,1.9683542632265016e-05,Actuator_Mid
state_only_0p05,40,0.00022541556973010302,0.00015237549087032676,Actuator_Mid
baseline_clean,60,3.078267036471516e-05,1.3797300198348239e-05,Actuator_Mid
actuator_only_0p02,60,3.125170769635588e-05,1.537080606794916e-05,Actuator_Mid
actuator_only_0p1,60,1.2435756616469007e-05,3.5604502954811323e-06,Actuator_Mid
state_only_0p01,60,3.321642361697741e-05,8.56251881486969e-06,Actuator_Mid
state_only_0p05,60,0.00014481482503470033,8.785067620920017e-05,Actuator_Mid
baseline_clean,80,0.000831081357318908,0.00037770686321891844,Actuator_Mid
actuator_only_0p02,80,0.001066424185410142,0.00024296539777424186,Actuator_Mid
actuator_only_0p1,80,0.0004633298667613417,0.000217793756746687,Actuator_Mid
state_only_0p01,80,2.864185080397874e-05,8.989304660644848e-06,Actuator_Mid
state_only_0p05,80,0.00012703047832474113,6.932431278983131e-05,Actuator_Mid
baseline_clean,100,0.0014721587067469954,0.001085326075553894,Actuator_Mid
actuator_only_0p02,100,0.0014826770639047027,0.001087740296497941,Actuator_Mid
actuator_only_0p1,100,0.00128699722699821,0.0008275729487650096,Actuator_Mid
state_only_0p01,100,2.780253089440521e-05,9.029907232616097e-06,Actuator_Mid
state_only_0p05,100,0.00012617945321835577,6.601296627195552e-05,Actuator_Mid
