Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.00040947768138721585,0.00021843283320777118,Actuator_High
actuator_only_0p02,20,0.00043851477676071227,0.0002216768334619701,Actuator_High
actuator_only_0p1,20,0.00017093300994019955,0.00012813101056963205,Actuator_High
state_only_0p01,20,0.00027501757722347975,0.00015876600809860975,Actuator_High
state_only_0p05,20,0.000698972144164145,0.0004277694970369339,Actuator_High
baseline_clean,30,0.00015274636098183692,0.00010276232205796987,Actuator_High
actuator_only_0p02,30,0.0001688473712420091,0.00011110745253972709,Actuator_High
actuator_only_0p1,30,7.507865666411817e-05,3.139056934742257e-05,Actuator_High
state_only_0p01,30,0.00016587779100518674,8.040787361096591e-05,Actuator_High
state_only_0p05,30,0.0003813415241893381,0.0002471408515702933,Actuator_High
baseline_clean,40,2.867917100957129e-05,1.422538571205223e-05,Actuator_High
actuator_only_0p02,40,3.053950422327034e-05,1.490466183895478e-05,Actuator_High
actuator_only_0p1,40,2.3121499907574616e-05,7.174407073762268e-06,Actuator_High
state_only_0p01,40,5.398202847572975e-05,2.1002540961490013e-05,Actuator_High
state_only_0p05,40,0.00023230323859024793,0.00014974844816606492,Actuator_High
baseline_clean,60,5.863193655386567e-05,1.8967382857226767e-05,Actuator_High
actuator_only_0p02,60,5.1866034482372925e-05,1.838496064010542e-05,Actuator_High
actuator_only_0p1,60,1.4582440599042457e-05,3.7594509194605052e-06,Actuator_High
state_only_0p01,60,3.708423537318595e-05,9.48417164181592e-06,Actuator_High
state_only_0p05,60,0.0001560762175358832,9.397327085025609e-05,Actuator_High
baseline_clean,80,0.0011384747922420502,0.0002492210187483579,Actuator_High
actuator_only_0p02,80,0.001166089903563261,0.0002142594166798517,Actuator_High
actuator_only_0p1,80,0.0005599260330200195,0.0002803725947160274,Actuator_High
state_only_0p01,80,3.201356594217941e-05,9.100348506763112e-06,Actuator_High
state_only_0p05,80,0.0001273381058126688,6.792692875023931e-05,Actuator_High
baseline_clean,100,0.0016053736908361316,0.001098391367122531,Actuator_High
actuator_only_0p02,100,0.0016316762194037437,0.0010974210454151034,Actuator_High
actuator_only_0p1,100,0.0013085237005725503,0.0008155531832017004,Actuator_High
state_only_0p01,100,2.9514469133573584e-05,9.637683433538768e-06,Actuator_High
state_only_0p05,100,0.00013260588457342237,6.792771455366164e-05,Actuator_High
