Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.00040460401214659214,0.00021433802612591535,Noise-Free
actuator_only_0p02,20,0.0004338860453572124,0.00021743295656051487,Noise-Free
actuator_only_0p1,20,0.00017383813974447548,0.00013000080070924014,Noise-Free
state_only_0p01,20,0.00027403360581956804,0.00015921027807053179,Noise-Free
state_only_0p05,20,0.0007078283233568072,0.0004331801028456539,Noise-Free
baseline_clean,30,0.00015403008728753775,0.00010543916869210079,Noise-Free
actuator_only_0p02,30,0.00017035228665918112,0.00011371163418516517,Noise-Free
actuator_only_0p1,30,8.041177352424711e-05,3.449805444688536e-05,Noise-Free
state_only_0p01,30,0.00017473015759605914,8.194856491172686e-05,Noise-Free
state_only_0p05,30,0.00037313331267796457,0.0002448988670948893,Noise-Free
baseline_clean,40,2.6191011784248985e-05,1.401634744979674e-05,Noise-Free
actuator_only_0p02,40,2.826696254487615e-05,1.4608133824367542e-05,Noise-Free
actuator_only_0p1,40,1.9326314941281453e-05,7.13900681148516e-06,Noise-Free
state_only_0p01,40,4.554576662485488e-05,1.9439743482507765e-05,Noise-Free
state_only_0p05,40,0.00022483053908217698,0.00015301677922252566,Noise-Free
baseline_clean,60,2.3391532522509806e-05,1.3248798495624214e-05,Noise-Free
actuator_only_0p02,60,2.70026212092489e-05,1.5468265701201744e-05,Noise-Free
actuator_only_0p1,60,1.2172690730949398e-05,3.5942189242632594e-06,Noise-Free
state_only_0p01,60,3.263906910433434e-05,8.3498889580369e-06,Noise-Free
state_only_0p05,60,0.00014297483721747994,8.641064050607383e-05,Noise-Free
baseline_clean,80,0.0007467110990546644,0.00037547489046119153,Noise-Free
actuator_only_0p02,80,0.0006732028559781611,0.0003602191573008895,Noise-Free
actuator_only_0p1,80,0.0004581537505146116,0.0002107706677634269,Noise-Free
state_only_0p01,80,2.8160180590930395e-05,9.005661922856234e-06,Noise-Free
state_only_0p05,80,0.0001277091505471617,6.97427021805197e-05,Noise-Free
baseline_clean,100,0.0014653124380856752,0.0010930596617981791,Noise-Free
actuator_only_0p02,100,0.0014749286929145455,0.0010950291762128472,Noise-Free
actuator_only_0p1,100,0.001282085431739688,0.0008306715753860772,Noise-Free
state_only_0p01,100,2.7624997528619133e-05,8.83197662915336e-06,Noise-Free
state_only_0p05,100,0.00012556066212709993,6.558929453603923e-05,Noise-Free
